,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
0,01001,Autauga County, Alabama,0.32150190671751244,3409,560,268,268,188,483,151,212,178,81,336,116,280,90,84,33,81
1,01003,Baldwin County, Alabama,0.32970074381594877,5781,1008,486,412,501,675,288,524,237,253,263,418,469,82,60,36,69
2,01005,Barbour County, Alabama,0.5128015755785328,4062,1029,589,465,324,267,168,204,216,132,206,203,158,84,8,5,4
3,01007,Bibb County, Alabama,0.547375596455351,1467,313,227,263,138,86,72,35,23,48,84,73,66,16,0,23,0
4,01009,Blount County, Alabama,0.2926829268292683,205,26,10,24,40,41,8,17,0,0,14,0,12,13,0,0,0
5,01011,Bullock County, Alabama,0.35420032310177707,2476,558,133,186,306,202,150,166,73,97,199,188,116,40,35,0,27
6,01013,Butler County, Alabama,0.490280777537797,3241,703,403,483,356,197,207,158,88,137,174,194,110,26,5,0,0
7,01015,Calhoun County, Alabama,0.4265366495014791,9127,1962,1057,874,568,539,410,446,472,290,560,723,758,175,63,113,117
8,01017,Chambers County, Alabama,0.4844276929180718,5041,1044,750,648,387,340,358,243,249,237,216,191,217,80,65,0,16
9,01019,Cherokee County, Alabama,0.5671641791044776,603,101,152,89,15,0,35,67,18,4,20,63,0,39,0,0,0
10,01021,Chilton County, Alabama,0.38863976083707025,1338,250,190,80,150,36,53,67,73,18,71,141,109,82,1,17,0
11,01023,Choctaw County, Alabama,0.4657022865142324,2143,444,341,213,122,142,97,173,39,91,139,167,113,44,4,12,2
12,01025,Clarke County, Alabama,0.5289705121572685,3866,1134,434,477,305,218,171,145,119,127,201,249,171,96,0,11,8
13,01027,Clay County, Alabama,0.4701570680628272,955,242,127,80,52,69,66,63,76,0,58,15,107,0,0,0,0
14,01029,Cleburne County, Alabama,0.1956521739130435,138,16,5,6,10,20,23,26,6,0,6,20,0,0,0,0,0
15,01031,Coffee County, Alabama,0.4732313575525813,3138,712,439,334,207,224,200,115,99,48,120,160,237,105,82,4,52
16,01033,Colbert County, Alabama,0.36660215648327343,3617,619,342,365,282,200,314,148,322,39,262,236,276,125,70,17,0
