,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",year
1,01001,Autauga County, Alabama,0.17919323197645906,16312,685,885,629,724,472,852,1073,872,600,1520,1863,2343,1727,926,699,442,16
2,01003,Baldwin County, Alabama,0.21304281578546397,65630,3589,3177,3305,3911,3136,3510,3114,3459,2765,6124,6475,8083,5260,3774,2824,3124,16
3,01005,Barbour County, Alabama,0.2621296693860026,4658,319,301,324,277,262,246,279,232,223,417,456,641,394,157,91,39,16
4,01007,Bibb County, Alabama,0.2774060730828616,5829,431,273,377,536,291,518,251,399,263,662,458,722,241,200,157,50,16
5,01009,Blount County, Alabama,0.2464529689963216,19030,1544,1158,971,1017,1259,1195,842,1046,885,1564,2667,2193,1353,584,510,242,16
6,01011,Bullock County, Alabama,0.18666666666666668,825,46,51,0,57,61,7,21,99,20,110,109,109,57,14,23,41,16
7,01013,Butler County, Alabama,0.2927115069135224,4267,431,284,274,260,263,227,211,212,181,338,483,493,284,115,165,46,16
8,01015,Calhoun County, Alabama,0.2502976899261729,33592,2640,1914,1821,2033,1900,2031,1641,2068,1449,3097,3836,3875,2505,1284,847,651,16
9,01017,Chambers County, Alabama,0.2811330172198652,8014,577,694,630,352,444,626,516,288,450,640,648,1170,485,198,170,126,16
10,01019,Cherokee County, Alabama,0.303735575982789,10226,898,752,732,724,720,612,702,457,504,899,900,1006,637,339,210,134,16
11,01021,Chilton County, Alabama,0.26055471069592295,13809,1138,1032,622,806,881,920,740,672,682,1291,1281,1678,930,558,370,208,16
