,id,mean_income,year
0,01001,64733,10
1,01003,66054,10
2,01005,41710,10
3,01007,52292,10
4,01009,55476,10
5,01011,49226,10
6,01013,41165,10
7,01015,50337,10
8,01017,40393,10
9,01019,49201,10
10,01021,52296,10
11,01023,42669,10
12,01025,45652,10
13,01027,44304,10
14,01029,46341,10
15,01031,56399,10
16,01033,50479,10
17,01035,40997,10
18,01037,48207,10
19,01039,48407,10
20,01041,47820,10
21,01043,50801,10
22,01045,53380,10
23,01047,41387,10
24,01049,47291,10
25,01051,63370,10
26,01053,43123,10
27,01055,50026,10
28,01057,41909,10
29,01059,46038,10
30,01061,43510,10
31,01063,36678,10
32,01065,41007,10
33,01067,48685,10
34,01069,56518,10
35,01071,45624,10
36,01073,65169,10
37,01075,47615,10
38,01077,52999,10
39,01079,48705,10
40,01081,55567,10
41,01083,61801,10
42,01085,43645,10
43,01087,41707,10
44,01089,74304,10
45,01091,44760,10
46,01093,45173,10
47,01095,50978,10
48,01097,55272,10
49,01099,42962,10
50,01101,61229,10
51,01103,57816,10
52,01105,35597,10
53,01107,38880,10
54,01109,44797,10
55,01111,51016,10
56,01113,42025,10
57,01115,58970,10
58,01117,87725,10
59,01119,35831,10
60,01121,47255,10
61,01123,55481,10
62,01125,58032,10
63,01127,50971,10
64,01129,48757,10
65,01131,34585,10
66,01133,45163,10
67,02013,65923,10
68,02016,81401,10
69,02020,91251,10
70,02050,69184,10
71,02060,88476,10
72,02068,78511,10
73,02070,76672,10
74,02090,79824,10
75,02100,64843,10
76,02105,53701,10
77,02110,89373,10
78,02122,70743,10
79,02130,71507,10
80,02150,73928,10
81,02164,55699,10
82,02170,78184,10
83,02180,67734,10
84,02185,80525,10
85,02188,65507,10
86,02195,73267,10
87,02198,57720,10
88,02220,73098,10
89,02230,93822,10
90,02240,72151,10
91,02261,74012,10
92,02270,47397,10
93,02275,69596,10
94,02282,79072,10
95,02290,45463,10
96,04001,40762,10
97,04003,58119,10
98,04005,63284,10
99,04007,48377,10
100,04009,49430,10
101,04011,52969,10
102,04012,43362,10
103,04013,73909,10
104,04015,51979,10
105,04017,49828,10
106,04019,61726,10
107,04021,60611,10
108,04023,52237,10
109,04025,58828,10
110,04027,51235,10
111,05001,51570,10
112,05003,45697,10
113,05005,46811,10
114,05007,66465,10
115,05009,49516,10
116,05011,45291,10
117,05013,40409,10
118,05015,47978,10
119,05017,37631,10
120,05019,45668,10
121,05021,42936,10
122,05023,48273,10
123,05025,48861,10
124,05027,50497,10
125,05029,48219,10
126,05031,55267,10
127,05033,49278,10
128,05035,47814,10
129,05037,47785,10
130,05039,40074,10
131,05041,41443,10
132,05043,45653,10
133,05045,59387,10
134,05047,45679,10
135,05049,40662,10
136,05051,52394,10
137,05053,58299,10
138,05055,45683,10
139,05057,44741,10
140,05059,47011,10
141,05061,47437,10
142,05063,48756,10
143,05065,41446,10
144,05067,39468,10
145,05069,48368,10
146,05071,41953,10
147,05073,43978,10
148,05075,37718,10
149,05077,35162,10
150,05079,47585,10
151,05081,44825,10
152,05083,48913,10
153,05085,59934,10
154,05087,48316,10
155,05089,44334,10
156,05091,49800,10
157,05093,46772,10
158,05095,40447,10
159,05097,49468,10
160,05099,50388,10
161,05101,36344,10
162,05103,42364,10
163,05105,49950,10
164,05107,39387,10
165,05109,46346,10
166,05111,40909,10
167,05113,41302,10
168,05115,51364,10
169,05117,43556,10
170,05119,64195,10
171,05121,45507,10
172,05123,38370,10
173,05125,62574,10
