GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US01001,01001,"Autauga County, Alabama",32173,4332
0500000US01003,01003,"Baldwin County, Alabama",26818,3658
0500000US01005,01005,"Barbour County, Alabama",21546,1519
0500000US01007,01007,"Bibb County, Alabama",28256,5013
0500000US01009,01009,"Blount County, Alabama",37647,13157
0500000US01011,01011,"Bullock County, Alabama",24411,3522
0500000US01013,01013,"Butler County, Alabama",23904,2612
0500000US01015,01015,"Calhoun County, Alabama",26523,3168
0500000US01017,01017,"Chambers County, Alabama",28558,3264
0500000US01019,01019,"Cherokee County, Alabama",33934,8076
0500000US01021,01021,"Chilton County, Alabama",27375,11082
0500000US01023,01023,"Choctaw County, Alabama",23902,1770
0500000US01025,01025,"Clarke County, Alabama",21373,3651
0500000US01027,01027,"Clay County, Alabama",31272,3455
0500000US01029,01029,"Cleburne County, Alabama",-,**
0500000US01031,01031,"Coffee County, Alabama",28352,2495
0500000US01033,01033,"Colbert County, Alabama",31813,6085
0500000US01035,01035,"Conecuh County, Alabama",21059,3028
0500000US01037,01037,"Coosa County, Alabama",25893,1378
0500000US01039,01039,"Covington County, Alabama",21728,6120
0500000US01041,01041,"Crenshaw County, Alabama",23125,3616
0500000US01043,01043,"Cullman County, Alabama",32054,9421
0500000US01045,01045,"Dale County, Alabama",24729,4123
0500000US01047,01047,"Dallas County, Alabama",21640,1597
0500000US01049,01049,"DeKalb County, Alabama",25650,8425
0500000US01051,01051,"Elmore County, Alabama",36558,5038
0500000US01053,01053,"Escambia County, Alabama",20861,1978
0500000US01055,01055,"Etowah County, Alabama",26261,3043
0500000US01057,01057,"Fayette County, Alabama",21332,7563
0500000US01059,01059,"Franklin County, Alabama",34074,10566
0500000US01061,01061,"Geneva County, Alabama",24534,3590
0500000US01063,01063,"Greene County, Alabama",17655,3047
0500000US01065,01065,"Hale County, Alabama",23936,3826
0500000US01067,01067,"Henry County, Alabama",24570,4033
0500000US01069,01069,"Houston County, Alabama",25503,1201
0500000US01071,01071,"Jackson County, Alabama",26875,14577
0500000US01073,01073,"Jefferson County, Alabama",33390,946
0500000US01075,01075,"Lamar County, Alabama",18696,7413
0500000US01077,01077,"Lauderdale County, Alabama",26317,4978
0500000US01079,01079,"Lawrence County, Alabama",28571,4541
0500000US01081,01081,"Lee County, Alabama",30342,2078
0500000US01083,01083,"Limestone County, Alabama",38371,7654
0500000US01085,01085,"Lowndes County, Alabama",21686,2055
0500000US01087,01087,"Macon County, Alabama",30289,2051
0500000US01089,01089,"Madison County, Alabama",37361,1342
0500000US01091,01091,"Marengo County, Alabama",18927,2621
0500000US01093,01093,"Marion County, Alabama",-,**
0500000US01095,01095,"Marshall County, Alabama",31033,10188
0500000US01097,01097,"Mobile County, Alabama",28559,1337
0500000US01099,01099,"Monroe County, Alabama",15255,3882
0500000US01101,01101,"Montgomery County, Alabama",34252,1619
0500000US01103,01103,"Morgan County, Alabama",26544,3277
0500000US01105,01105,"Perry County, Alabama",19349,3028
0500000US01107,01107,"Pickens County, Alabama",19207,2940
0500000US01109,01109,"Pike County, Alabama",20958,1599
0500000US01111,01111,"Randolph County, Alabama",29138,3236
0500000US01113,01113,"Russell County, Alabama",32137,2128
0500000US01115,01115,"St. Clair County, Alabama",37940,9823
0500000US01117,01117,"Shelby County, Alabama",63119,9311
0500000US01119,01119,"Sumter County, Alabama",16246,1613
0500000US01121,01121,"Talladega County, Alabama",26300,2511
0500000US01123,01123,"Tallapoosa County, Alabama",22944,2865
0500000US01125,01125,"Tuscaloosa County, Alabama",33509,2514
0500000US01127,01127,"Walker County, Alabama",25241,4198
0500000US01129,01129,"Washington County, Alabama",25069,12809
0500000US01131,01131,"Wilcox County, Alabama",19338,2866
0500000US01133,01133,"Winston County, Alabama",-,**
0500000US02013,02013,"Aleutians East Borough, Alaska",31250,11884
0500000US02016,02016,"Aleutians West Census Area, Alaska",94583,67432
0500000US02020,02020,"Anchorage Municipality, Alaska",53244,4156
0500000US02050,02050,"Bethel Census Area, Alaska",80208,7124
0500000US02060,02060,"Bristol Bay Borough, Alaska",-,**
0500000US02068,02068,"Denali Borough, Alaska",-,**
0500000US02070,02070,"Dillingham Census Area, Alaska",-,**
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",52479,11561
0500000US02100,02100,"Haines Borough, Alaska",-,**
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",-,**
0500000US02110,02110,"Juneau City and Borough, Alaska",107386,46692
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",76250,73811
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",80694,77143
0500000US02150,02150,"Kodiak Island Borough, Alaska",26667,20035
0500000US02158,02158,"Kusilvak Census Area, Alaska",-,**
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",-,**
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",58906,25189
0500000US02180,02180,"Nome Census Area, Alaska",-,**
0500000US02185,02185,"North Slope Borough, Alaska",-,**
0500000US02188,02188,"Northwest Arctic Borough, Alaska",-,**
0500000US02195,02195,"Petersburg Borough, Alaska",21932,4920
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",30833,22541
0500000US02220,02220,"Sitka City and Borough, Alaska",-,**
0500000US02230,02230,"Skagway Municipality, Alaska",-,**
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",-,**
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",-,**
0500000US02275,02275,"Wrangell City and Borough, Alaska",-,**
0500000US02282,02282,"Yakutat City and Borough, Alaska",-,**
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",-,**
0500000US04001,04001,"Apache County, Arizona",35893,21982
0500000US04003,04003,"Cochise County, Arizona",62536,27754
0500000US04005,04005,"Coconino County, Arizona",29180,17731
0500000US04007,04007,"Gila County, Arizona",-,**
0500000US04009,04009,"Graham County, Arizona",-,**
0500000US04011,04011,"Greenlee County, Arizona",91250,16818
0500000US04012,04012,"La Paz County, Arizona",-,**
0500000US04013,04013,"Maricopa County, Arizona",39808,1087
0500000US04015,04015,"Mohave County, Arizona",19115,15715
0500000US04017,04017,"Navajo County, Arizona",40125,34861
0500000US04019,04019,"Pima County, Arizona",36013,3056
0500000US04021,04021,"Pinal County, Arizona",57083,8114
0500000US04023,04023,"Santa Cruz County, Arizona",103264,42480
0500000US04025,04025,"Yavapai County, Arizona",51533,3787
0500000US04027,04027,"Yuma County, Arizona",39321,7294
0500000US05001,05001,"Arkansas County, Arkansas",26709,3220
0500000US05003,05003,"Ashley County, Arkansas",19411,3607
0500000US05005,05005,"Baxter County, Arkansas",-,**
0500000US05007,05007,"Benton County, Arkansas",61125,17225
0500000US05009,05009,"Boone County, Arkansas",-,**
0500000US05011,05011,"Bradley County, Arkansas",20877,3695
0500000US05013,05013,"Calhoun County, Arkansas",23906,6178
0500000US05015,05015,"Carroll County, Arkansas",13819,328
0500000US05017,05017,"Chicot County, Arkansas",20467,2471
0500000US05019,05019,"Clark County, Arkansas",23835,4722
0500000US05021,05021,"Clay County, Arkansas",-,**
0500000US05023,05023,"Cleburne County, Arkansas",-,**
0500000US05025,05025,"Cleveland County, Arkansas",19238,3481
0500000US05027,05027,"Columbia County, Arkansas",20880,2864
0500000US05029,05029,"Conway County, Arkansas",26161,9938
0500000US05031,05031,"Craighead County, Arkansas",24907,4749
0500000US05033,05033,"Crawford County, Arkansas",26689,17376
0500000US05035,05035,"Crittenden County, Arkansas",26734,2677
0500000US05037,05037,"Cross County, Arkansas",25506,3940
0500000US05039,05039,"Dallas County, Arkansas",32143,2635
0500000US05041,05041,"Desha County, Arkansas",18963,3162
0500000US05043,05043,"Drew County, Arkansas",19816,5428
0500000US05045,05045,"Faulkner County, Arkansas",30694,2593
0500000US05047,05047,"Franklin County, Arkansas",56189,1034
0500000US05049,05049,"Fulton County, Arkansas",-,**
0500000US05051,05051,"Garland County, Arkansas",21752,2201
0500000US05053,05053,"Grant County, Arkansas",46071,41110
0500000US05055,05055,"Greene County, Arkansas",-,**
0500000US05057,05057,"Hempstead County, Arkansas",24756,4264
0500000US05059,05059,"Hot Spring County, Arkansas",23571,6610
0500000US05061,05061,"Howard County, Arkansas",22272,4674
0500000US05063,05063,"Independence County, Arkansas",-,**
0500000US05065,05065,"Izard County, Arkansas",-,**
0500000US05067,05067,"Jackson County, Arkansas",21250,8578
0500000US05069,05069,"Jefferson County, Arkansas",29482,1990
0500000US05071,05071,"Johnson County, Arkansas",22188,10340
0500000US05073,05073,"Lafayette County, Arkansas",18789,4810
0500000US05075,05075,"Lawrence County, Arkansas",-,**
0500000US05077,05077,"Lee County, Arkansas",18428,3009
0500000US05079,05079,"Lincoln County, Arkansas",21820,2544
0500000US05081,05081,"Little River County, Arkansas",24897,4058
0500000US05083,05083,"Logan County, Arkansas",-,**
0500000US05085,05085,"Lonoke County, Arkansas",30694,5266
0500000US05087,05087,"Madison County, Arkansas",-,**
0500000US05089,05089,"Marion County, Arkansas",-,**
0500000US05091,05091,"Miller County, Arkansas",28978,3137
0500000US05093,05093,"Mississippi County, Arkansas",26184,2077
0500000US05095,05095,"Monroe County, Arkansas",21036,2957
0500000US05097,05097,"Montgomery County, Arkansas",-,**
0500000US05099,05099,"Nevada County, Arkansas",24468,2931
0500000US05101,05101,"Newton County, Arkansas",-,**
0500000US05103,05103,"Ouachita County, Arkansas",21240,3848
0500000US05105,05105,"Perry County, Arkansas",-,**
0500000US05107,05107,"Phillips County, Arkansas",19366,1782
0500000US05109,05109,"Pike County, Arkansas",21466,13145
0500000US05111,05111,"Poinsett County, Arkansas",22623,5118
0500000US05113,05113,"Polk County, Arkansas",-,**
