,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
0,01001,Autauga County, Alabama,0.3734903381642512,3312,541,378,318,226,282,108,199,164,115,295,242,215,121,86,22,0
1,01003,Baldwin County, Alabama,0.3639993056760979,5761,1063,461,573,604,304,326,286,509,162,428,328,338,263,76,0,40
2,01005,Barbour County, Alabama,0.482358297291145,4393,1219,503,397,311,254,280,343,124,97,308,211,232,75,0,9,30
3,01007,Bibb County, Alabama,0.4324045407636739,969,218,137,64,142,46,61,3,22,27,45,94,35,9,47,19,0
4,01009,Blount County, Alabama,0.3613707165109034,321,56,15,45,104,11,13,0,0,48,0,3,26,0,0,0,0
5,01011,Bullock County, Alabama,0.42418274911382436,2539,563,247,267,254,244,115,169,80,87,151,145,125,49,3,40,0
6,01013,Butler County, Alabama,0.4635977799542932,3063,633,393,394,305,221,304,145,92,89,137,253,70,21,6,0,0
7,01015,Calhoun County, Alabama,0.4626026805015132,9252,2312,1041,927,727,575,635,326,290,225,485,640,571,239,67,133,59
8,01017,Chambers County, Alabama,0.4540148923324613,4969,979,689,588,448,214,343,495,246,130,355,201,218,28,20,0,15
9,01019,Cherokee County, Alabama,0.5159332321699545,659,120,178,42,21,0,27,4,0,11,190,21,0,29,0,16,0
10,01021,Chilton County, Alabama,0.4509433962264151,1590,313,263,141,114,66,127,127,27,13,115,72,164,28,2,18,0
11,01023,Choctaw County, Alabama,0.5004803073967339,2082,409,323,310,96,179,64,144,54,53,157,239,29,7,16,0,2
12,01025,Clarke County, Alabama,0.6045243935677296,3669,1369,386,463,381,264,117,144,41,58,132,189,93,14,0,7,11
13,01027,Clay County, Alabama,0.4789915966386555,1071,281,137,95,69,68,64,11,79,67,12,87,101,0,0,0,0
14,01029,Cleburne County, Alabama,0.25824175824175827,182,31,7,9,19,42,0,46,0,0,9,0,9,10,0,0,0
15,01031,Coffee County, Alabama,0.4673561732385262,3094,706,425,315,197,174,243,237,75,105,154,175,156,50,53,13,16
16,01033,Colbert County, Alabama,0.36126100539619427,3521,543,421,308,222,189,265,222,285,102,204,123,352,130,109,40,6
17,01035,Conecuh County, Alabama,0.5496754867698452,2003,516,325,260,156,223,73,77,56,124,106,23,28,24,12,0,0
