,id,mean_income,year
0,01001,64699,13
1,01003,66835,13
2,01005,43926,13
3,01007,48885,13
4,01009,54820,13
5,01011,49022,13
6,01013,41089,13
7,01015,52130,13
8,01017,44998,13
9,01019,49817,13
10,01021,54226,13
11,01023,47640,13
12,01025,46106,13
13,01027,44118,13
14,01029,48783,13
15,01031,59150,13
16,01033,50990,13
17,01035,38807,13
18,01037,44275,13
19,01039,49532,13
20,01041,51287,13
21,01043,51556,13
22,01045,55648,13
23,01047,42696,13
24,01049,48351,13
25,01051,65915,13
26,01053,42834,13
27,01055,50389,13
28,01057,44371,13
29,01059,48488,13
30,01061,48200,13
31,01063,37375,13
32,01065,45816,13
33,01067,52310,13
34,01069,57876,13
35,01071,49609,13
36,01073,66269,13
37,01075,44828,13
38,01077,55172,13
39,01079,49679,13
40,01081,59102,13
41,01083,65254,13
42,01085,45950,13
43,01087,41814,13
44,01089,79504,13
45,01091,52993,13
46,01093,46574,13
47,01095,53362,13
48,01097,57634,13
49,01099,40216,13
50,01101,62418,13
51,01103,59811,13
52,01105,37475,13
53,01107,40214,13
54,01109,48614,13
55,01111,49335,13
56,01113,48813,13
57,01115,62411,13
58,01117,86995,13
59,01119,35053,13
60,01121,48737,13
61,01123,52395,13
62,01125,60978,13
63,01127,51040,13
64,01129,52809,13
65,01131,35565,13
66,01133,46093,13
67,02013,75766,13
68,02016,91901,13
69,02020,96935,13
70,02050,69262,13
71,02060,92359,13
72,02068,86625,13
73,02070,71258,13
74,02090,83145,13
75,02100,62807,13
76,02105,63204,13
77,02110,96025,13
78,02122,77022,13
79,02130,78081,13
80,02150,80343,13
81,02164,64040,13
82,02170,83413,13
83,02180,67207,13
84,02185,89995,13
85,02188,74256,13
86,02195,77905,13
87,02198,60647,13
88,02220,80018,13
89,02230,87987,13
90,02240,72533,13
91,02261,84959,13
92,02270,48906,13
93,02275,58422,13
94,02282,76460,13
95,02290,48862,13
96,04001,41303,13
97,04003,59695,13
98,04005,65130,13
99,04007,49941,13
100,04009,54155,13
101,04011,53415,13
102,04012,44728,13
103,04013,72691,13
104,04015,50929,13
105,04017,49240,13
106,04019,62852,13
107,04021,60265,13
108,04023,52793,13
109,04025,57111,13
110,04027,53339,13
111,05001,54360,13
112,05003,48294,13
113,05005,47411,13
114,05007,72645,13
115,05009,53140,13
116,05011,46192,13
117,05013,41618,13
118,05015,49539,13
119,05017,42338,13
120,05019,47105,13
121,05021,41690,13
122,05023,53648,13
123,05025,51755,13
124,05027,49385,13
125,05029,49700,13
126,05031,59467,13
127,05033,50542,13
128,05035,51938,13
129,05037,47984,13
130,05039,40286,13
131,05041,46385,13
132,05043,41796,13
133,05045,64110,13
134,05047,48526,13
135,05049,45159,13
136,05051,54240,13
137,05053,59827,13
138,05055,48994,13
139,05057,42962,13
140,05059,50883,13
141,05061,46824,13
142,05063,50036,13
143,05065,42020,13
144,05067,40849,13
145,05069,50294,13
146,05071,48662,13
147,05073,42453,13
148,05075,39857,13
149,05077,35214,13
150,05079,48853,13
151,05081,48003,13
152,05083,48608,13
153,05085,62313,13
154,05087,47380,13
155,05089,41692,13
156,05091,50723,13
157,05093,49312,13
158,05095,39821,13
159,05097,45331,13
160,05099,44532,13
161,05101,41541,13
162,05103,43370,13
163,05105,57350,13
164,05107,42723,13
165,05109,46104,13
166,05111,41733,13
167,05113,46274,13
168,05115,52593,13
169,05117,41595,13
170,05119,65729,13
171,05121,46076,13
172,05123,41862,13
173,05125,66165,13
174,05127,48052,13
175,05129,38883,13
176,05131,58215,13
177,05133,44647,13
178,05135,39774,13
179,05137,40188,13
180,05139,50778,13
181,05141,43752,13
182,05143,60091,13
183,05145,56272,13
184,05147,43696,13
185,05149,44535,13
186,06001,96982,13
187,06003,69097,13
188,06005,69891,13
189,06007,59081,13
190,06009,70161,13
191,06011,63743,13
192,06013,106018,13
193,06015,53185,13
194,06017,90247,13
195,06019,63079,13
196,06021,62856,13
197,06023,56127,13
198,06025,57847,13
199,06027,61137,13
200,06029,64677,13
201,06031,63130,13
202,06033,51573,13
203,06035,63149,13
204,06037,81416,13
205,06039,60240,13
206,06041,137795,13
207,06043,62748,13
208,06045,57774,13
209,06047,59420,13
210,06049,48765,13
211,06051,68616,13
212,06053,79378,13
213,06055,94451,13
214,06057,75824,13
215,06059,101134,13
216,06061,91628,13
217,06063,62345,13
218,06065,73752,13
219,06067,72200,13
220,06069,80980,13
221,06071,69091,13
222,06073,84889,13
223,06075,110208,13
224,06077,70435,13
225,06079,77043,13
226,06081,126129,13
227,06083,88230,13
228,06085,120718,13
229,06087,88776,13
230,06089,59066,13
231,06091,55972,13
232,06093,50428,13
233,06095,82971,13
234,06097,83823,13
235,06099,65123,13
236,06101,68744,13
237,06103,54024,13
238,06105,51299,13
239,06107,58700,13
240,06109,62918,13
241,06111,98869,13
242,06113,77162,13
243,06115,55847,13
244,08001,69009,13
245,08003,50549,13
246,08005,82593,13
247,08007,70257,13
248,08009,50022,13
249,08011,48573,13
250,08013,93225,13
251,08014,95619,13
252,08015,60923,13
253,08017,59073,13
254,08019,93639,13
255,08021,44584,13
256,08023,49197,13
257,08025,42893,13
258,08027,52620,13
259,08029,58899,13
260,08031,74746,13
261,08033,49240,13
262,08035,121999,13
263,08037,106458,13
264,08039,99457,13
265,08041,74750,13
266,08043,51391,13
267,08045,71727,13
268,08047,80095,13
269,08049,75959,13
270,08051,65678,13
271,08053,75014,13
272,08055,51126,13
273,08057,53039,13
274,08059,87315,13
275,08061,54779,13
276,08063,54491,13
277,08065,56657,13
278,08067,72066,13
279,08069,75962,13
280,08071,53022,13
281,08073,57565,13
282,08075,55757,13
283,08077,66456,13
284,08079,78223,13
285,08081,62411,13
286,08083,55701,13
287,08085,56020,13
288,08087,55018,13
289,08089,46294,13
290,08091,74762,13
291,08093,70976,13
292,08095,52131,13
293,08097,111601,13
294,08099,47783,13
295,08101,54290,13
296,08103,71206,13
297,08105,50543,13
298,08107,81406,13
299,08109,47297,13
300,08111,46770,13
301,08113,94314,13
302,08115,51523,13
303,08117,81097,13
304,08119,73321,13
305,08121,58823,13
306,08123,70978,13
307,08125,56592,13
308,09001,132661,13
309,09003,87148,13
310,09005,92137,13
311,09007,98414,13
312,09009,82562,13
313,09011,84806,13
314,09013,94146,13
315,09015,72403,13
316,10001,66276,13
317,10003,85404,13
318,10005,67161,13
319,11001,101076,13
320,12001,62061,13
321,12003,61205,13
322,12005,59743,13
323,12007,52033,13
324,12009,64115,13
325,12011,71963,13
326,12013,43352,13
327,12015,57495,13
328,12017,51597,13
329,12019,73178,13
330,12021,91387,13
331,12023,50730,13
332,12027,43594,13
333,12029,41341,13
334,12031,65569,13
335,12033,58570,13
336,12035,62177,13
337,12037,52360,13
338,12039,46489,13
339,12041,53081,13
340,12043,43249,13
341,12045,50251,13
342,12047,49578,13
343,12049,51321,13
344,12051,50399,13
345,12053,50957,13
346,12055,46645,13
347,12057,69525,13
348,12059,45505,13
349,12061,70719,13
350,12063,47623,13
351,12065,56670,13
352,12067,56160,13
353,12069,59808,13
354,12071,67429,13
355,12073,64947,13
356,12075,45171,13
357,12077,53639,13
358,12079,43551,13
359,12081,65293,13
360,12083,52739,13
361,12085,80143,13
362,12086,65616,13
363,12087,80531,13
364,12089,74307,13
365,12091,70388,13
366,12093,49995,13
367,12095,66709,13
368,12097,54987,13
369,12099,79966,13
370,12101,58132,13
371,12103,64120,13
372,12105,56379,13
373,12107,45391,13
374,12109,93325,13
375,12111,58639,13
376,12113,71126,13
377,12115,70251,13
378,12117,77098,13
379,12119,59959,13
380,12121,46650,13
381,12123,47769,13
382,12125,49840,13
383,12127,56975,13
384,12129,61632,13
385,12131,62249,13
386,12133,46476,13
387,13001,49647,13
388,13003,43350,13
389,13005,48806,13
390,13007,41751,13
391,13009,49753,13
392,13011,53488,13
393,13013,61465,13
394,13015,58409,13
395,13017,37574,13
396,13019,43702,13
397,13021,55272,13
398,13023,58881,13
399,13025,44033,13
400,13027,46464,13
401,13029,76441,13
402,13031,51299,13
403,13033,43580,13
404,13035,57516,13
405,13037,45981,13
406,13039,60187,13
407,13043,48396,13
408,13045,58875,13
409,13047,56365,13
410,13049,50044,13
411,13051,62966,13
412,13053,57142,13
413,13055,43096,13
414,13057,83210,13
415,13059,51128,13
416,13061,31766,13
417,13063,49971,13
418,13065,44426,13
419,13067,86949,13
420,13069,48651,13
421,13071,46599,13
422,13073,87167,13
423,13075,49941,13
424,13077,73184,13
425,13079,51341,13
426,13081,46889,13
427,13083,56931,13
428,13085,72492,13
429,13087,46861,13
430,13089,73002,13
431,13091,46931,13
432,13093,40802,13
433,13095,47137,13
434,13097,66072,13
435,13099,44492,13
436,13101,45160,13
437,13103,71732,13
438,13105,46475,13
439,13107,46041,13
440,13109,48892,13
441,13111,45059,13
442,13113,97636,13
443,13115,54791,13
444,13117,104524,13
445,13119,45318,13
446,13121,90989,13
447,13123,52527,13
448,13125,48108,13
449,13127,66720,13
450,13129,52683,13
451,13131,41623,13
452,13133,68720,13
453,13135,77273,13
454,13137,52611,13
455,13139,68004,13
456,13141,35388,13
457,13143,52025,13
458,13145,85920,13
459,13147,49770,13
460,13149,49727,13
461,13151,72845,13
462,13153,66641,13
463,13155,51145,13
464,13157,65241,13
465,13159,54981,13
466,13161,46158,13
467,13163,38028,13
468,13165,43809,13
469,13167,46453,13
470,13169,64655,13
471,13171,51416,13
472,13173,45289,13
473,13175,48492,13
474,13177,75666,13
475,13179,55827,13
476,13181,47155,13
477,13183,50240,13
478,13185,51068,13
479,13187,54431,13
480,13189,46708,13
481,13191,54887,13
482,13193,37843,13
483,13195,54314,13
484,13197,45687,13
485,13199,48388,13
486,13201,45795,13
487,13205,41885,13
488,13207,62034,13
489,13209,44561,13
490,13211,68867,13
491,13213,44840,13
492,13215,58556,13
493,13217,61273,13
494,13219,95213,13
495,13221,54750,13
496,13223,70599,13
497,13225,54488,13
498,13227,69605,13
499,13229,52889,13
500,13231,63422,13
501,13233,50356,13
502,13235,49946,13
503,13237,66115,13
504,13239,36153,13
505,13241,50786,13
506,13243,42552,13
507,13245,51380,13
508,13247,65431,13
509,13249,50889,13
510,13251,47856,13
511,13253,45083,13
512,13255,52685,13
513,13257,49639,13
514,13259,34876,13
515,13261,46546,13
516,13263,41425,13
517,13265,34733,13
518,13267,47373,13
519,13269,40803,13
520,13271,35672,13
521,13273,44237,13
522,13275,49397,13
523,13277,51410,13
524,13279,47652,13
525,13281,47843,13
526,13283,52298,13
527,13285,57446,13
528,13287,45256,13
529,13289,47723,13
530,13291,52283,13
531,13293,45344,13
532,13295,53394,13
533,13297,63895,13
534,13299,48880,13
535,13301,42859,13
536,13303,48065,13
537,13305,47575,13
538,13307,45208,13
539,13309,35356,13
540,13311,51891,13
541,13313,55969,13
542,13315,40890,13
543,13317,40042,13
544,13319,45387,13
545,13321,48701,13
546,15001,65809,13
547,15003,89741,13
548,15005,66591,13
549,15007,76516,13
550,15009,83816,13
551,16001,71473,13
552,16003,49558,13
553,16005,56564,13
554,16007,54892,13
555,16009,47772,13
556,16011,57131,13
557,16013,83687,13
558,16015,54602,13
559,16017,53502,13
560,16019,65066,13
561,16021,49459,13
562,16023,55367,13
563,16025,56289,13
564,16027,51692,13
565,16029,61042,13
566,16031,52316,13
567,16033,46237,13
568,16035,49889,13
569,16037,52723,13
570,16039,54028,13
571,16041,53117,13
572,16043,55739,13
573,16045,51976,13
574,16047,50377,13
575,16049,45155,13
576,16051,62564,13
577,16053,49120,13
578,16055,61930,13
579,16057,55557,13
580,16059,49824,13
581,16061,44428,13
582,16063,50423,13
583,16065,51535,13
584,16067,54597,13
585,16069,57608,13
586,16071,47532,13
587,16073,44333,13
588,16075,51952,13
589,16077,52091,13
590,16079,46317,13
591,16081,58443,13
592,16083,55320,13
593,16085,60737,13
594,16087,50385,13
595,17001,58447,13
596,17003,35154,13
597,17005,60502,13
598,17007,75809,13
599,17009,61648,13
600,17011,64773,13
601,17013,64626,13
602,17015,62035,13
603,17017,56363,13
604,17019,64105,13
605,17021,59109,13
606,17023,59554,13
607,17025,52009,13
608,17027,72516,13
609,17029,54058,13
610,17031,78472,13
611,17033,62111,13
612,17035,57780,13
613,17037,63525,13
614,17039,64361,13
615,17041,61851,13
616,17043,104013,13
617,17045,53981,13
618,17047,49147,13
619,17049,67796,13
620,17051,55917,13
621,17053,60720,13
622,17055,48075,13
623,17057,54790,13
624,17059,55570,13
625,17061,53174,13
626,17063,77086,13
627,17065,53550,13
628,17067,54668,13
629,17069,50418,13
630,17071,58602,13
631,17073,66361,13
632,17075,61213,13
633,17077,49930,13
634,17079,59235,13
635,17081,56414,13
636,17083,64902,13
637,17085,69287,13
638,17087,52790,13
639,17089,89378,13
640,17091,62913,13
641,17093,93784,13
642,17095,52500,13
643,17097,108570,13
644,17099,63810,13
645,17101,50663,13
646,17103,64375,13
647,17105,66263,13
648,17107,59347,13
649,17109,49451,13
650,17111,90181,13
651,17113,79136,13
652,17115,62668,13
653,17117,59895,13
654,17119,67568,13
655,17121,52548,13
656,17123,62809,13
657,17125,53684,13
658,17127,53372,13
659,17129,69327,13
660,17131,64189,13
661,17133,83526,13
662,17135,55155,13
663,17137,60318,13
664,17139,59987,13
665,17141,66757,13
666,17143,68651,13
667,17145,51418,13
668,17147,78783,13
669,17149,51186,13
670,17151,47949,13
671,17153,46783,13
672,17155,65815,13
673,17157,57840,13
674,17159,55949,13
675,17161,62867,13
676,17163,66066,13
677,17165,51976,13
678,17167,70931,13
679,17169,57476,13
680,17171,59303,13
681,17173,55709,13
682,17175,65787,13
683,17177,54923,13
684,17179,69037,13
685,17181,53527,13
686,17183,52248,13
687,17185,59199,13
688,17187,54826,13
689,17189,63448,13
690,17191,52738,13
691,17193,59089,13
692,17195,59290,13
693,17197,90649,13
694,17199,56600,13
695,17201,61506,13
696,17203,81828,13
697,18001,56982,13
698,18003,64359,13
699,18005,69369,13
700,18007,58250,13
701,18009,49741,13
702,18011,98989,13
703,18013,63457,13
704,18015,60718,13
705,18017,55509,13
706,18019,60836,13
707,18021,55760,13
708,18023,58130,13
709,18025,49750,13
710,18027,59051,13
711,18029,71112,13
712,18031,56518,13
713,18033,58744,13
714,18035,51500,13
715,18037,65584,13
716,18039,58065,13
717,18041,46082,13
718,18043,68257,13
719,18045,56429,13
720,18047,63547,13
721,18049,52804,13
722,18051,61416,13
723,18053,51236,13
724,18055,55501,13
725,18057,107384,13
726,18059,73897,13
727,18061,59761,13
728,18063,82006,13
729,18065,51655,13
730,18067,57187,13
731,18069,57099,13
732,18071,56180,13
733,18073,65320,13
734,18075,49157,13
735,18077,54077,13
736,18079,52493,13
737,18081,76423,13
738,18083,52344,13
739,18085,64212,13
740,18087,60164,13
741,18089,62295,13
742,18091,59211,13
743,18093,54165,13
744,18095,53392,13
745,18097,58836,13
746,18099,57529,13
747,18101,55067,13
748,18103,53283,13
749,18105,57267,13
750,18107,57199,13
751,18109,68595,13
752,18111,63557,13
753,18113,57759,13
754,18115,61382,13
755,18117,46360,13
756,18119,53213,13
757,18121,56460,13
758,18123,54398,13
759,18125,54064,13
760,18127,75404,13
761,18129,73218,13
762,18131,54813,13
763,18133,62845,13
764,18135,53152,13
765,18137,58138,13
766,18139,58363,13
767,18141,60014,13
768,18143,52814,13
769,18145,61580,13
770,18147,60498,13
771,18149,50681,13
772,18151,60411,13
773,18153,53678,13
774,18155,50404,13
775,18157,60870,13
776,18159,61392,13
777,18161,51464,13
778,18163,58048,13
779,18165,54591,13
780,18167,54562,13
781,18169,53170,13
782,18171,68952,13
783,18173,79483,13
784,18175,54575,13
785,18177,50745,13
786,18179,60243,13
787,18181,60695,13
788,18183,61532,13
789,19001,57482,13
790,19003,53374,13
791,19005,59712,13
792,19007,49057,13
793,19009,68572,13
794,19011,66970,13
795,19013,59277,13
796,19015,65563,13
797,19017,72510,13
798,19019,70484,13
799,19021,59444,13
800,19023,60765,13
801,19025,58407,13
802,19027,59108,13
803,19029,56876,13
804,19031,63829,13
805,19033,60060,13
806,19035,57887,13
807,19037,55635,13
808,19039,56399,13
809,19041,68107,13
810,19043,58464,13
811,19045,61912,13
812,19047,59637,13
813,19049,93577,13
814,19051,58663,13
815,19053,48768,13
816,19055,63990,13
817,19057,56854,13
818,19059,68515,13
819,19061,64995,13
820,19063,67422,13
821,19065,56255,13
822,19067,56013,13
823,19069,62123,13
824,19071,64866,13
825,19073,60896,13
826,19075,75004,13
827,19077,65992,13
828,19079,58016,13
829,19081,61140,13
830,19083,60440,13
831,19085,63207,13
832,19087,58340,13
833,19089,57890,13
834,19091,61492,13
835,19093,57572,13
836,19095,68595,13
837,19097,57451,13
838,19099,61050,13
839,19101,64943,13
840,19103,72180,13
841,19105,67608,13
842,19107,51876,13
843,19109,66841,13
844,19111,53891,13
845,19113,72497,13
846,19115,61414,13
847,19117,50381,13
848,19119,61246,13
849,19121,70727,13
850,19123,57616,13
