,id,median_income,year
0,01001,28082,10
1,01003,28579,10
2,01005,21101,10
3,01007,21153,10
4,01009,21070,10
5,01011,23760,10
6,01013,21309,10
7,01015,22163,10
8,01017,23236,10
9,01019,19375,10
10,01021,22438,10
11,01023,19985,10
12,01025,15629,10
13,01027,20879,10
14,01029,26488,10
15,01031,22500,10
16,01033,31095,10
17,01035,18626,10
18,01037,26520,10
19,01039,19740,10
20,01041,23327,10
21,01043,15625,10
22,01045,29269,10
23,01047,18784,10
24,01049,25585,10
25,01051,31862,10
26,01053,21651,10
27,01055,23436,10
28,01057,20321,10
29,01059,20833,10
30,01061,20000,10
31,01063,19715,10
32,01065,20653,10
33,01067,24844,10
34,01069,23024,10
35,01071,28602,10
36,01073,31597,10
37,01075,17181,10
38,01077,17327,10
39,01079,33586,10
40,01081,28530,10
41,01083,35254,10
42,01085,21929,10
43,01087,26161,10
44,01089,35034,10
45,01091,20641,10
46,01093,24121,10
47,01095,16824,10
48,01097,26966,10
49,01099,19419,10
50,01101,32701,10
51,01103,24523,10
52,01105,19151,10
53,01107,15484,10
54,01109,20264,10
55,01111,24988,10
56,01113,25183,10
57,01115,35924,10
58,01117,49339,10
59,01119,19289,10
60,01121,26303,10
61,01123,21907,10
62,01125,29057,10
63,01127,20436,10
64,01129,20967,10
65,01131,17266,10
66,01133,"2,500-",10
67,02013,-,10
68,02016,-,10
69,02020,54940,10
70,02050,26583,10
71,02060,-,10
72,02068,-,10
73,02070,22813,10
74,02090,54911,10
75,02100,-,10
76,02105,-,10
77,02110,57500,10
78,02122,36000,10
79,02130,44118,10
80,02150,145625,10
81,02164,-,10
82,02170,55962,10
83,02180,151125,10
84,02185,102986,10
85,02188,66250,10
86,02195,-,10
87,02198,-,10
88,02220,-,10
89,02230,-,10
90,02240,120156,10
91,02261,41027,10
92,02270,-,10
93,02275,-,10
94,02282,-,10
95,02290,-,10
96,04001,12321,10
97,04003,46510,10
98,04005,56513,10
99,04007,9732,10
100,04009,15938,10
101,04011,71667,10
102,04012,6250,10
103,04013,40087,10
104,04015,39758,10
105,04017,46250,10
106,04019,38150,10
107,04021,52159,10
108,04023,45469,10
109,04025,44271,10
110,04027,51337,10
111,05001,20577,10
112,05003,19891,10
113,05005,19408,10
114,05007,32692,10
115,05009,31364,10
116,05011,21638,10
117,05013,23138,10
118,05015,19063,10
119,05017,16363,10
120,05019,22132,10
121,05021,-,10
122,05023,-,10
123,05025,18542,10
124,05027,20246,10
125,05029,26310,10
126,05031,21647,10
127,05033,45260,10
128,05035,23755,10
129,05037,26019,10
130,05039,22233,10
131,05041,20320,10
132,05043,22594,10
133,05045,25606,10
134,05047,7054,10
135,05049,-,10
136,05051,21750,10
137,05053,31597,10
138,05055,8086,10
139,05057,23659,10
140,05059,28980,10
141,05061,24219,10
142,05063,27330,10
143,05065,93342,10
144,05067,18676,10
145,05069,27282,10
146,05071,14846,10
147,05073,19432,10
148,05075,-,10
149,05077,17614,10
150,05079,13220,10
151,05081,25240,10
152,05083,8587,10
153,05085,29495,10
154,05087,-,10
155,05089,-,10
156,05091,25929,10
157,05093,21997,10
158,05095,21932,10
159,05097,-,10
160,05099,20045,10
161,05101,-,10
162,05103,23661,10
163,05105,98281,10
164,05107,22043,10
165,05109,29432,10
166,05111,15962,10
167,05113,33452,10
168,05115,36926,10
169,05117,21406,10
170,05119,30835,10
171,05121,25100,10
172,05123,22794,10
173,05125,35515,10
174,05127,-,10
175,05129,-,10
176,05131,26798,10
177,05133,24345,10
178,05135,55417,10
179,05137,-,10
180,05139,19720,10
181,05141,-,10
182,05143,35478,10
183,05145,26706,10
184,05147,15563,10
185,05149,37941,10
186,06001,40187,10
187,06003,-,10
188,06005,-,10
189,06007,25929,10
190,06009,73017,10
191,06011,45833,10
192,06013,50371,10
193,06015,69107,10
194,06017,66855,10
195,06019,25692,10
