GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; With earnings,Total; Margin of Error; With earnings,Mean income (dollars); Estimate; With earnings,Mean income (dollars); Margin of Error; With earnings,"Total; Estimate; With interest, dividends, or net rental income","Total; Margin of Error; With interest, dividends, or net rental income","Mean income (dollars); Estimate; With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; With interest, dividends, or net rental income",Total; Estimate; With Social Security income,Total; Margin of Error; With Social Security income,Mean income (dollars); Estimate; With Social Security income,Mean income (dollars); Margin of Error; With Social Security income,Total; Estimate; With Supplemental Security Income (SSI),Total; Margin of Error; With Supplemental Security Income (SSI),Mean income (dollars); Estimate; With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; With Supplemental Security Income (SSI),Total; Estimate; With cash public assistance income,Total; Margin of Error; With cash public assistance income,Mean income (dollars); Estimate; With cash public assistance income,Mean income (dollars); Margin of Error; With cash public assistance income,Total; Estimate; With retirement income,Total; Margin of Error; With retirement income,Mean income (dollars); Estimate; With retirement income,Mean income (dollars); Margin of Error; With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",19718,348,64733,2378,81.1,1.5,63179,2051,22.0,1.8,10239,4975,28.2,1.3,15128,688,5.0,1.0,7010,828,1.8,0.7,1478,436,20.3,1.4,24699,3361,14347,434,74869,2520,11.6,1.2,44440,3840,33.4,2.2,61054,6006,36.2,2.2,92467,4725,7.7,1.3,63434,6198,9.0,1.4,102318,8805,2.1,0.8,84587,13969,53155,*****,24568,798,79.1,0.3,27089,970,17.9,0.2,14827,1495,0.3,0.2,22323,12755,0.7,0.2,19557,5090,0.0,0.1,-,**,0.6,0.3,18364,6637,1.5,0.4,12648,4089,2.3,*****,15853,3178,77.6,0.1,27312,999,22.4,(X),(X),(X),23.3,(X),(X),(X),16.4,(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",69476,1105,66054,1449,75.1,1.1,65146,1810,26.5,1.0,15253,1982,35.1,0.9,16534,393,3.3,0.5,8241,947,0.9,0.3,3842,1607,24.0,1.0,23755,1607,50195,932,75451,2009,18.7,0.9,53519,3831,32.2,1.5,61370,3254,32.8,1.3,93429,3396,6.8,0.8,71336,9007,8.1,0.7,112707,6962,1.3,0.4,74561,16405,175791,*****,26469,599,86.2,0.5,28404,693,9.5,0.2,13605,1276,0.6,0.1,16800,3746,0.7,0.1,21829,8638,0.0,0.1,N,N,1.8,0.5,10574,2384,1.4,0.3,20450,7920,3.9,*****,11908,1357,84.1,0.1,28774,691,30.8,(X),(X),(X),30.5,(X),(X),(X),23.4,(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",9795,337,41710,2741,69.8,2.5,43141,3613,13.7,1.9,9892,2756,37.0,2.3,13179,707,8.9,1.8,7147,919,1.8,1.0,2949,2218,16.8,1.9,18543,2936,6668,348,50006,3982,20.7,2.5,30354,4169,34.9,3.3,35837,3578,27.8,3.8,77052,9725,8.4,2.3,44915,4510,7.7,2.0,74066,9077,0.4,0.3,65464,12574,27699,*****,15875,909,49.7,0.7,20418,1288,46.6,0.5,11253,1456,0.3,0.2,6844,4444,0.2,0.2,20233,6138,0.0,0.1,N,N,1.9,0.7,14472,7080,1.3,0.6,11610,6118,4.6,*****,11101,2733,47.2,0.1,20977,1351,30.2,(X),(X),(X),31.6,(X),(X),(X),22.9,(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",7441,288,52292,3382,74.2,2.9,55360,3621,11.6,2.2,11975,7651,35.3,2.8,14900,1005,8.6,2.2,7877,1801,3.4,1.8,2826,1210,18.1,2.8,15690,2949,5497,403,59998,4218,15.4,2.9,26477,3837,36.4,5.0,46126,6379,31.4,4.4,80971,7411,8.9,3.1,75955,18672,5.6,2.2,87426,10536,2.3,1.7,88935,18657,22610,*****,19918,1200,84.2,3.0,20565,1339,15.3,2.9,16000,3557,0.2,0.2,5430,2945,0.2,0.2,66469,29978,0.0,0.1,-,**,0.0,0.1,-,**,0.2,0.2,22159,14088,0.6,0.8,5195,1886,83.6,2.9,20674,1345,38.7,(X),(X),(X),39.4,(X),(X),(X),30.9,(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",20605,431,55476,2690,74.1,1.8,59425,3096,15.7,1.3,8542,4938,35.2,1.7,15022,607,4.0,0.9,8710,885,1.2,0.4,1821,934,19.5,1.7,15795,1787,15378,499,63814,3383,16.1,1.7,28618,2972,33.2,2.5,52340,7154,33.6,2.4,84095,4442,7.5,1.3,59552,5861,7.6,1.3,100699,8188,2.1,0.8,72060,15909,56692,*****,21070,980,95.1,0.7,21532,1038,1.3,0.3,12855,4977,0.4,0.3,11865,7092,0.4,0.4,24705,19883,0.0,0.1,-,**,1.6,0.7,10725,4085,1.1,0.3,8171,2389,7.5,*****,9052,1287,89.5,0.1,22354,1094,26.1,(X),(X),(X),26.7,(X),(X),(X),19.1,(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",3732,216,49226,6984,70.9,5.2,50573,7647,10.7,2.9,36783,39353,34.8,5.6,12141,1224,12.4,4.0,6365,879,3.8,2.4,2634,2901,17.2,4.5,19481,3335,2434,239,60082,10066,19.5,5.0,N,N,32.8,7.4,N,N,26.3,8.0,N,N,17.5,6.7,N,N,2.7,2.2,N,N,1.2,1.5,N,N,10923,*****,20289,3354,23.7,1.7,42353,13855,74.2,2.3,12442,1352,0.2,0.3,N,N,0.4,0.6,N,N,0.6,1.0,N,N,0.0,0.3,-,**,0.8,0.8,N,N,1.6,1.6,2766,3841,22.1,0.3,45143,14541,40.9,(X),(X),(X),43.6,(X),(X),(X),27.2,(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8019,336,41165,2561,69.7,2.8,44864,2816,11.9,2.1,7593,4261,40.2,2.4,12403,861,8.5,1.9,6609,1130,2.0,0.9,479,200,19.0,2.4,14421,1857,5450,311,48558,3329,19.4,3.4,19463,3170,40.1,3.5,41039,4189,28.0,3.6,74433,7187,8.0,2.0,47556,8834,3.4,1.3,94139,19604,1.0,0.7,42291,10614,20895,*****,16916,955,55.0,0.4,21684,1510,42.9,1.1,10340,861,0.1,0.2,N,N,0.8,0.8,34495,32563,0.0,0.2,-,**,0.0,0.2,-,**,1.1,0.8,19728,23731,0.3,0.4,5624,3915,54.7,0.2,21765,1499,28.5,(X),(X),(X),32.0,(X),(X),(X),23.4,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",46421,704,50337,1400,72.6,1.1,52524,1721,18.6,1.1,7645,943,34.1,1.2,14083,440,6.2,0.7,6836,500,1.8,0.4,2059,578,21.8,1.2,18222,887,31201,693,59307,1950,17.8,1.2,32807,2366,38.0,1.8,48934,3694,28.2,1.6,80131,2853,7.5,1.1,57993,5422,6.6,0.9,98245,7055,1.9,0.6,76231,17109,117149,*****,20574,530,75.5,0.3,22508,565,20.4,0.3,13962,927,0.4,0.1,21677,6327,0.7,0.1,33580,16718,0.1,0.1,5793,4287,1.5,0.3,12079,3015,1.3,0.3,15774,10050,3.0,*****,15741,2716,74.3,0.1,22537,569,29.6,(X),(X),(X),30.2,(X),(X),(X),22.6,(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",13681,350,40393,1593,71.0,1.9,41713,1995,12.0,1.5,11008,3656,38.6,2.0,13892,554,7.9,1.1,6753,702,0.9,0.4,2043,719,18.8,1.9,12225,1125,9381,376,47119,2030,18.9,2.1,23989,2448,37.6,2.8,38046,3046,28.1,2.4,70220,3536,9.9,1.8,44412,6861,4.8,1.3,78958,10488,0.7,0.5,53801,16197,34579,*****,16626,661,59.1,0.5,19916,844,39.1,0.2,11781,989,0.0,0.1,N,N,0.4,0.1,13453,13989,0.0,0.1,-,**,0.2,0.1,36223,8652,1.2,0.5,11224,4108,1.5,*****,12587,3644,58.2,0.1,20031,870,28.4,(X),(X),(X),29.8,(X),(X),(X),20.9,(X),(X),(X)
