GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0500000US01001,01001,"Autauga County, Alabama",30910,4025
0500000US01003,01003,"Baldwin County, Alabama",27271,2872
0500000US01005,01005,"Barbour County, Alabama",24443,3315
0500000US01007,01007,"Bibb County, Alabama",21722,7397
0500000US01009,01009,"Blount County, Alabama",28750,4906
0500000US01011,01011,"Bullock County, Alabama",26469,5979
0500000US01013,01013,"Butler County, Alabama",22945,2133
0500000US01015,01015,"Calhoun County, Alabama",25854,2554
0500000US01017,01017,"Chambers County, Alabama",22739,2346
0500000US01019,01019,"Cherokee County, Alabama",33220,13431
0500000US01021,01021,"Chilton County, Alabama",29399,11315
0500000US01023,01023,"Choctaw County, Alabama",21469,2401
0500000US01025,01025,"Clarke County, Alabama",20301,3582
0500000US01027,01027,"Clay County, Alabama",28031,4641
0500000US01029,01029,"Cleburne County, Alabama",30213,5073
0500000US01031,01031,"Coffee County, Alabama",24277,3817
0500000US01033,01033,"Colbert County, Alabama",29609,3919
0500000US01035,01035,"Conecuh County, Alabama",16588,2386
0500000US01037,01037,"Coosa County, Alabama",22193,3604
0500000US01039,01039,"Covington County, Alabama",22260,4648
0500000US01041,01041,"Crenshaw County, Alabama",25449,5487
0500000US01043,01043,"Cullman County, Alabama",28512,10005
0500000US01045,01045,"Dale County, Alabama",27168,3000
0500000US01047,01047,"Dallas County, Alabama",19699,1536
0500000US01049,01049,"DeKalb County, Alabama",29597,5180
0500000US01051,01051,"Elmore County, Alabama",31572,2037
0500000US01053,01053,"Escambia County, Alabama",20876,1419
0500000US01055,01055,"Etowah County, Alabama",24389,1951
0500000US01057,01057,"Fayette County, Alabama",16747,10928
0500000US01059,01059,"Franklin County, Alabama",25987,9148
0500000US01061,01061,"Geneva County, Alabama",24794,3499
0500000US01063,01063,"Greene County, Alabama",19281,3173
0500000US01065,01065,"Hale County, Alabama",22968,2617
0500000US01067,01067,"Henry County, Alabama",23789,7086
0500000US01069,01069,"Houston County, Alabama",24607,1090
0500000US01071,01071,"Jackson County, Alabama",21382,9938
0500000US01073,01073,"Jefferson County, Alabama",32292,783
0500000US01075,01075,"Lamar County, Alabama",23188,6009
0500000US01077,01077,"Lauderdale County, Alabama",26689,3243
0500000US01079,01079,"Lawrence County, Alabama",32083,2578
0500000US01081,01081,"Lee County, Alabama",30403,1771
0500000US01083,01083,"Limestone County, Alabama",36576,4480
0500000US01085,01085,"Lowndes County, Alabama",18842,1803
0500000US01087,01087,"Macon County, Alabama",27974,2199
0500000US01089,01089,"Madison County, Alabama",36199,1395
0500000US01091,01091,"Marengo County, Alabama",21168,2910
0500000US01093,01093,"Marion County, Alabama",19632,19876
0500000US01095,01095,"Marshall County, Alabama",23348,2369
0500000US01097,01097,"Mobile County, Alabama",27726,1126
0500000US01099,01099,"Monroe County, Alabama",18584,2839
0500000US01101,01101,"Montgomery County, Alabama",34736,1382
0500000US01103,01103,"Morgan County, Alabama",25164,2853
0500000US01105,01105,"Perry County, Alabama",19654,6202
0500000US01107,01107,"Pickens County, Alabama",18763,2451
0500000US01109,01109,"Pike County, Alabama",21977,2420
0500000US01111,01111,"Randolph County, Alabama",27626,4883
0500000US01113,01113,"Russell County, Alabama",29845,1765
0500000US01115,01115,"St. Clair County, Alabama",37657,4850
0500000US01117,01117,"Shelby County, Alabama",56685,3610
0500000US01119,01119,"Sumter County, Alabama",18448,2729
0500000US01121,01121,"Talladega County, Alabama",25662,2488
0500000US01123,01123,"Tallapoosa County, Alabama",25366,2513
0500000US01125,01125,"Tuscaloosa County, Alabama",31529,1900
0500000US01127,01127,"Walker County, Alabama",25953,5351
0500000US01129,01129,"Washington County, Alabama",35953,12801
0500000US01131,01131,"Wilcox County, Alabama",17473,2952
0500000US01133,01133,"Winston County, Alabama",-,**
0500000US02013,02013,"Aleutians East Borough, Alaska",31250,20995
0500000US02016,02016,"Aleutians West Census Area, Alaska",71250,63443
0500000US02020,02020,"Anchorage Municipality, Alaska",53208,6384
