GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0100000US,,United States,114235996,248114,76254318,230785,56655412,293638,37981678,38604,7.2,0.1,4.5,0.1,1.5,0.1,14.1,0.1,5.5,0.1,3.2,0.1,1.7,0.1,10.5,0.1,10.8,0.1,8.3,0.1,5.7,0.1,16.5,0.1,10.5,0.1,9.3,0.1,7.5,0.1,13.5,0.1,14.1,0.1,13.6,0.1,12.6,0.1,15.0,0.1,18.6,0.1,20.0,0.1,21.1,0.1,15.0,0.1,12.3,0.1,14.6,0.1,17.0,0.1,7.0,0.1,12.3,0.1,15.4,0.1,18.8,0.1,5.3,0.1,4.4,0.1,5.6,0.1,7.1,0.1,1.6,0.1,4.2,0.1,5.4,0.1,7.0,0.1,1.5,0.1,51914,89,62982,199,74848,173,31305,73,70883,123,82446,199,95442,176,44804,102,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X)
0500000US01001,01001,"Autauga County, Alabama",19718,348,14347,434,10802,437,5371,408,6.7,1.2,3.9,1.2,0.8,0.5,16.5,3.3,5.1,0.7,2.8,0.9,1.2,0.6,12.1,2.1,8.7,1.1,6.1,1.2,3.6,1.2,16.5,2.9,10.5,1.3,7.5,1.1,5.2,1.2,17.1,3.4,15.5,1.8,15.5,1.9,14.1,2.0,15.8,3.5,20.9,1.9,23.4,2.4,25.1,2.9,12.0,2.9,14.9,1.6,18.6,2.2,21.7,2.8,5.1,2.1,13.0,1.4,16.1,1.7,20.6,2.2,4.1,1.9,3.2,0.7,4.1,1.0,5.4,1.3,0.5,0.5,1.5,0.5,2.0,0.7,2.3,0.9,0.3,0.4,53255,2420,64271,2949,75044,3971,27514,2089,64733,2378,74869,2520,84207,3101,35224,2777,22.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.6,(X)
0500000US01003,01003,"Baldwin County, Alabama",69476,1105,50195,932,40593,851,19281,943,6.0,0.7,3.7,0.8,1.6,0.6,12.9,1.7,4.8,0.5,3.4,0.7,1.9,0.5,9.8,1.4,11.9,1.0,8.2,0.9,6.3,0.8,22.0,2.3,11.0,0.8,10.0,1.0,8.8,1.0,13.8,1.6,16.1,1.2,15.7,1.4,15.3,1.5,17.2,2.1,19.9,1.0,22.4,1.2,23.7,1.3,13.1,1.9,12.3,0.8,14.0,1.1,15.8,1.2,6.0,1.0,11.0,0.7,13.7,0.9,15.9,1.0,3.2,1.1,3.5,0.5,4.5,0.7,5.5,0.8,0.9,0.5,3.5,0.5,4.4,0.6,5.2,0.7,1.1,0.6,50147,1046,58429,1311,65700,1587,27796,1663,66054,1449,75451,2009,82997,2258,39195,2413,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
0500000US01005,01005,"Barbour County, Alabama",9795,337,6668,348,4458,341,3127,290,17.3,2.5,11.4,2.9,3.5,2.0,30.0,4.9,9.8,1.6,6.9,1.9,4.0,1.7,16.9,3.8,14.0,1.9,12.0,2.3,7.8,2.0,18.6,4.0,11.7,2.2,10.8,2.3,9.5,2.7,13.9,4.7,15.7,2.1,17.9,2.5,20.1,3.3,10.6,3.8,17.5,2.2,22.5,3.0,29.3,4.3,6.1,2.6,6.9,1.5,8.7,2.2,12.0,3.2,2.8,1.7,4.7,1.0,6.4,1.5,8.9,2.2,1.2,1.0,1.6,0.7,2.3,1.1,3.4,1.6,0.0,1.0,0.7,0.5,1.0,0.8,1.5,1.2,0.0,1.0,33219,1889,41786,3447,52738,2102,16574,2761,41710,2741,50006,3982,N,N,23177,2325,30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
0500000US01007,01007,"Bibb County, Alabama",7441,288,5497,403,4099,391,1944,306,7.4,2.3,3.2,1.6,1.2,0.9,20.4,6.4,7.4,2.1,3.6,1.9,2.5,1.2,17.7,5.9,15.1,2.4,14.7,3.2,7.7,2.7,20.0,6.2,12.8,3.2,12.0,3.6,10.4,4.0,14.8,7.0,14.9,3.2,13.8,3.8,16.2,4.6,16.3,8.0,20.7,3.7,24.8,4.5,28.9,5.6,6.0,3.8,8.7,2.5,11.4,3.2,13.4,4.3,1.4,1.5,10.2,2.9,13.3,3.8,16.9,5.0,1.6,1.5,2.3,1.4,2.6,1.7,2.3,1.9,1.4,2.2,0.5,0.5,0.6,0.6,0.4,0.6,0.4,0.9,41770,3139,51956,4119,59554,3346,20676,4432,52292,3382,59998,4218,N,N,28977,5193,38.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.7,(X)
0500000US01009,01009,"Blount County, Alabama",20605,431,15378,499,12440,511,5227,391,8.5,1.3,4.6,1.2,2.0,0.7,21.7,4.1,6.0,1.2,3.5,1.1,1.7,0.9,14.7,3.3,13.0,1.5,9.6,1.6,9.1,1.7,22.5,3.8,10.7,1.6,10.9,1.9,8.7,1.6,12.9,3.1,16.4,1.8,16.3,2.1,16.6,2.3,14.4,3.5,22.0,2.1,26.1,2.6,27.7,3.0,8.2,2.6,10.5,1.2,12.7,1.5,15.0,1.7,3.0,1.7,9.1,1.2,11.5,1.6,13.4,2.0,1.7,1.1,2.5,0.7,3.3,0.9,4.1,1.1,0.5,0.6,1.2,0.6,1.4,0.7,1.5,0.8,0.4,0.6,45549,1804,53564,1773,58418,2907,19131,1298,55476,2690,63814,3383,69651,3537,28109,2301,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.5,(X)
0500000US01011,01011,"Bullock County, Alabama",3732,216,2434,239,1257,196,1298,252,16.2,4.1,13.7,4.7,1.5,2.4,21.6,8.7,8.4,2.9,5.2,3.6,0.0,2.5,13.6,6.4,17.5,5.6,13.2,5.5,6.8,7.4,25.4,11.4,13.8,4.5,13.4,5.1,12.3,7.8,14.6,9.6,15.0,5.0,13.4,5.4,17.1,7.8,17.9,10.3,12.8,4.0,19.1,5.6,23.2,8.7,1.9,2.1,6.0,2.9,6.7,3.8,12.7,6.9,3.8,5.1,4.7,2.5,7.2,3.8,13.1,6.6,0.0,2.5,2.4,1.7,3.7,2.6,4.6,3.2,0.0,2.5,3.3,1.9,4.4,2.7,8.6,5.1,1.2,2.1,31602,6819,37816,4515,59010,11592,19428,3609,49226,6984,60082,10066,N,N,28414,6996,40.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.9,(X)
0500000US01013,01013,"Butler County, Alabama",8019,336,5450,311,3242,277,2569,293,15.5,2.8,9.1,2.1,4.2,2.1,28.8,6.3,9.7,1.7,7.7,2.0,4.7,2.0,16.1,4.2,17.2,2.4,16.7,2.6,10.5,2.5,19.3,4.4,13.3,2.4,13.3,2.6,8.7,3.0,14.1,4.4,15.4,3.2,16.7,3.6,19.2,4.7,11.6,4.2,15.0,2.6,17.9,3.2,23.7,4.7,6.9,3.4,6.5,1.3,8.5,2.0,12.9,3.4,2.1,2.4,5.4,1.7,7.2,2.5,11.8,4.0,0.9,1.1,1.1,0.7,1.7,1.1,2.1,1.6,0.0,1.3,0.9,0.6,1.3,0.9,2.1,1.5,0.0,1.3,30659,2487,37458,3058,52652,6498,16965,3448,41165,2561,48558,3329,N,N,23740,2852,28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.9,(X)
0500000US01015,01015,"Calhoun County, Alabama",46421,704,31201,693,22057,696,15220,654,12.6,1.0,8.0,1.1,2.6,0.8,23.5,2.5,7.9,0.9,4.3,0.8,1.8,0.7,15.4,2.2,13.6,1.1,10.8,1.3,7.5,1.1,19.3,1.7,12.0,1.1,11.8,1.3,10.1,1.4,13.9,1.9,14.3,1.1,15.5,1.4,16.0,1.6,11.6,1.6,18.0,1.1,21.4,1.4,25.0,1.9,9.6,1.6,10.5,0.9,13.7,1.1,18.0,1.4,3.5,1.0,7.6,0.8,9.9,1.1,13.2,1.4,2.2,1.0,1.9,0.4,2.6,0.6,3.5,0.8,0.5,0.3,1.5,0.4,1.9,0.5,2.3,0.7,0.6,0.4,38407,1406,49532,1956,60929,1836,20360,1577,50337,1400,59307,1950,70313,2207,30121,2130,29.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
