,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
0,01001,Autauga County, Alabama,0.3427230046948357,3408,571,316,281,267,283,174,270,136,110,269,218,271,119,93,30,0
1,01003,Baldwin County, Alabama,0.33453856749311295,5808,830,726,387,629,510,252,365,341,212,265,487,456,164,110,39,35
2,01005,Barbour County, Alabama,0.49427575908412147,4018,1117,498,371,257,248,190,284,146,106,220,313,203,57,0,2,6
3,01007,Bibb County, Alabama,0.4979691307879773,1231,193,263,157,127,21,65,46,35,19,71,116,37,34,24,23,0
4,01009,Blount County, Alabama,0.3404255319148936,235,31,14,35,97,0,18,0,0,5,14,0,13,8,0,0,0
5,01011,Bullock County, Alabama,0.3859087269815853,2498,550,208,206,229,278,104,148,67,129,155,193,94,69,40,0,28
6,01013,Butler County, Alabama,0.47814992025518344,3135,655,487,357,277,250,262,209,95,110,96,181,117,34,5,0,0
7,01015,Calhoun County, Alabama,0.44323909708525094,9126,2285,984,776,696,496,602,345,285,359,406,780,672,178,82,116,64
8,01017,Chambers County, Alabama,0.4727419030376182,4971,1010,696,644,480,209,370,297,287,139,286,215,239,62,24,0,13
9,01019,Cherokee County, Alabama,0.5226537216828478,618,74,182,67,22,0,44,21,9,7,71,89,0,32,0,0,0
10,01021,Chilton County, Alabama,0.37293016558675307,1389,200,150,168,161,32,91,72,93,4,109,94,120,81,2,12,0
11,01023,Choctaw County, Alabama,0.4975822050290135,2068,422,348,259,109,169,97,145,28,51,129,224,57,12,17,0,1
12,01025,Clarke County, Alabama,0.5507487520798668,3606,1128,441,417,335,282,163,61,93,97,154,262,98,49,0,17,9
13,01027,Clay County, Alabama,0.47125256673511295,974,227,115,117,60,53,72,23,87,58,8,60,94,0,0,0,0
14,01029,Cleburne County, Alabama,0.11042944785276074,163,7,5,6,23,26,0,28,4,0,9,29,13,13,0,0,0
15,01031,Coffee County, Alabama,0.47085639856724193,3071,737,465,244,231,217,201,142,109,31,150,195,200,47,41,6,55
16,01033,Colbert County, Alabama,0.3716367713004484,3568,554,488,284,238,212,248,172,278,53,297,206,294,110,102,24,8
17,01035,Conecuh County, Alabama,0.5529355149181906,2078,617,321,211,144,200,50,62,100,121,117,33,33,55,14,0,0
18,01037,Coosa County, Alabama,0.3789785344189489,1351,252,139,121,92,176,86,60,34,75,126,109,71,8,0,2,0
19,01039,Covington County, Alabama,0.4988193624557261,1694,437,202,206,181,117,105,49,51,88,73,109,32,28,8,0,8
20,01041,Crenshaw County, Alabama,0.41025641025641024,1482,315,189,104,86,190,142,46,53,78,120,77,52,21,9,0,0
21,01043,Cullman County, Alabama,0.34448160535117056,299,24,52,27,26,32,41,6,5,3,17,62,0,4,0,0,0
22,01045,Dale County, Alabama,0.35473340587595215,3676,617,368,319,175,400,226,191,201,123,248,261,317,123,67,37,3
23,01047,Dallas County, Alabama,0.5058951569018683,11026,3236,1297,1045,893,606,645,334,404,325,577,595,547,272,102,119,29
24,01049,DeKalb County, Alabama,0.494199535962877,431,77,108,28,10,81,25,14,51,8,5,16,1,0,7,0,0
25,01051,Elmore County, Alabama,0.29446381865736704,4588,643,332,376,363,560,373,261,247,171,344,342,340,129,41,63,3
26,01053,Escambia County, Alabama,0.45461384152457374,3988,999,503,311,406,281,245,91,107,110,163,366,234,149,15,0,8
27,01055,Etowah County, Alabama,0.4431649942424741,6079,1041,869,784,662,276,291,551,223,236,230,297,182,291,99,39,8
28,01057,Fayette County, Alabama,0.48030495552731894,787,179,155,44,98,42,37,10,18,34,17,56,67,0,30,0,0
29,01059,Franklin County, Alabama,0.5493934142114385,577,112,79,126,12,34,92,23,55,9,0,35,0,0,0,0,0
