,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
0,1001,Autauga County, Alabama,0.30300568643379366,3693,488,429,202,206,392,284,175,244,111,367,145,297,207,96,22,28
1,1003,Baldwin County, Alabama,0.41995440995967037,5703,787,816,792,290,421,332,553,330,117,336,312,309,189,60,35,24
2,1005,Barbour County, Alabama,0.46452410383189124,4045,926,573,380,389,243,208,257,215,78,152,252,218,76,50,20,8
3,1007,Bibb County, Alabama,0.3765144454799627,1073,154,109,141,88,101,89,103,19,13,76,36,69,68,7,0,0
4,1009,Blount County, Alabama,0.064,250,16,0,0,0,33,67,25,20,24,0,40,3,22,0,0,0
5,1011,Bullock County, Alabama,0.40526510938079346,2697,606,320,167,280,211,176,78,115,109,217,200,161,17,38,0,2
6,1013,Butler County, Alabama,0.43356643356643354,3146,462,382,520,291,167,235,188,171,73,217,166,140,102,20,12,0
7,1015,Calhoun County, Alabama,0.4070516203948063,9473,1538,1353,965,705,530,541,512,552,308,709,536,568,301,229,89,37
8,1017,Chambers County, Alabama,0.33266932270916333,5522,859,425,553,673,356,457,278,468,141,325,499,327,59,68,22,12
9,1019,Cherokee County, Alabama,0.3148558758314856,451,26,53,63,11,53,34,99,50,0,28,0,0,34,0,0,0
10,1021,Chilton County, Alabama,0.4235941320293399,1636,353,234,106,106,90,88,15,158,22,56,222,108,76,0,2,0
11,1023,Choctaw County, Alabama,0.4265881363062684,2377,474,319,221,247,170,139,138,76,47,152,118,114,78,44,21,19
12,1025,Clarke County, Alabama,0.48177934154310126,3979,1211,423,283,205,294,178,173,57,137,317,174,226,223,46,27,5
13,1027,Clay County, Alabama,0.2906815020862309,719,111,75,23,34,88,84,67,28,47,56,58,34,0,5,9,0
14,1029,Cleburne County, Alabama,0.6540284360189573,211,98,18,22,8,10,16,0,12,10,2,0,0,0,0,15,0
15,1031,Coffee County, Alabama,0.3399571996331397,3271,512,256,344,312,313,150,149,116,110,246,252,129,145,196,17,24
16,1033,Colbert County, Alabama,0.3352810239287702,3594,588,427,190,261,265,141,198,218,176,288,265,371,131,39,24,12
17,1035,Conecuh County, Alabama,0.47417403443462075,2149,440,368,211,189,108,161,78,61,128,144,158,76,14,11,2,0
18,1037,Coosa County, Alabama,0.3580060422960725,1324,186,233,55,123,205,99,57,42,56,84,77,82,0,25,0,0
19,1039,Covington County, Alabama,0.4681818181818182,1760,404,308,112,93,128,173,62,78,80,85,138,74,8,17,0,0
20,1041,Crenshaw County, Alabama,0.4274537695590327,1406,262,250,89,135,104,32,83,84,100,63,55,102,43,4,0,0
21,1043,Cullman County, Alabama,0.4009216589861751,217,61,10,16,6,4,28,14,11,6,3,24,24,6,1,1,2
22,1045,Dale County, Alabama,0.42405235887646575,3667,708,478,369,289,266,232,183,118,191,250,258,141,68,65,20,31
23,1047,Dallas County, Alabama,0.4689213044690142,10763,2790,1179,1078,940,653,712,467,582,424,533,445,412,259,164,93,32
