GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",20304,458,64414,2094,76.8,1.6,63838,2401,20.2,1.9,5646,1132,31.0,1.7,17615,718,5.6,1.0,9190,832,2.5,1.2,1449,490,24.5,2.1,26609,4288,14272,457,75214,2762,15.3,1.4,44741,3958,29.6,2.4,56288,5815,36.6,2.7,96110,4516,9.8,1.8,67178,6635,6.7,1.5,124298,19055,2.0,0.7,80730,11063,55136,*****,24644,780,78.0,0.6,27261,916,18.6,0.3,15009,1296,0.4,0.1,11613,4306,0.9,0.2,26479,6300,0.0,0.1,N,N,0.7,0.6,15216,7265,1.3,0.4,13458,4674,2.5,*****,19842,4008,76.2,0.2,27448,942,25.1,(X),(X),(X),25.6,(X),(X),(X),20.4,(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",73058,1241,67238,1867,72.7,1.0,67676,2394,21.2,1.0,15303,2688,36.4,0.9,18788,449,4.1,0.6,9400,896,1.9,0.4,3367,739,23.4,1.0,26059,2052,50624,1138,78740,2386,20.8,1.1,50557,4137,31.0,1.7,69120,3876,31.6,1.8,101901,4388,8.6,1.3,64041,5557,6.6,0.9,116408,8127,1.5,0.4,99196,23522,191205,*****,26851,712,86.6,0.4,28672,804,9.4,0.2,13845,1363,0.5,0.2,25448,6678,0.7,0.1,23337,11563,0.0,0.1,-,**,1.0,0.3,15645,2447,1.8,0.3,14841,6573,4.5,*****,14050,1405,83.2,0.1,29290,820,28.8,(X),(X),(X),29.9,(X),(X),(X),23.0,(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",9145,311,46592,2267,67.7,2.7,48232,2965,14.3,1.7,10701,1934,37.9,2.0,15254,569,10.9,1.5,8910,697,1.5,0.6,2574,1845,19.6,2.1,20596,2542,6003,280,55901,2739,21.9,3.3,30676,4443,38.2,4.0,43991,4209,25.0,2.7,90926,7562,6.8,1.7,60177,6874,6.1,1.9,67613,9550,1.9,0.9,72114,16361,27119,*****,17350,822,47.2,0.9,22708,1284,46.3,0.7,12159,1035,0.2,0.2,83606,76645,0.8,0.6,14338,8543,0.0,0.1,-,**,3.5,1.1,10240,4817,2.0,0.7,18854,16294,4.7,*****,10226,4004,46.1,0.6,22956,1319,38.1,(X),(X),(X),42.3,(X),(X),(X),29.6,(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",7078,390,50508,4437,68.6,2.9,52693,4326,11.3,2.7,21899,25659,39.1,3.2,17867,1285,6.9,1.9,8844,1408,8.0,2.6,2724,841,20.7,2.4,16477,2746,5344,338,56096,5547,24.0,3.5,29209,3239,36.6,4.3,48226,11258,24.6,5.0,77207,8334,6.6,2.3,59488,16008,6.6,2.2,102994,22662,1.7,1.2,105057,26191,22653,*****,18110,1477,76.7,0.1,20472,1811,21.2,1.2,10516,1651,0.7,0.5,8189,2820,0.1,0.1,N,N,0.0,0.1,-,**,0.0,0.1,N,N,1.3,1.1,9066,6830,2.0,*****,23028,18164,74.8,0.1,20391,1827,38.6,(X),(X),(X),39.7,(X),(X),(X),31.3,(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",20934,399,54689,1953,72.5,1.7,58127,2613,11.6,1.5,8618,2616,35.7,1.9,17785,604,6.0,1.0,10573,1090,1.2,0.4,3653,1306,19.5,1.6,18219,1520,15682,468,61411,2377,20.4,1.7,30196,2895,36.2,3.0,48719,2643,30.5,2.8,89769,5578,6.7,1.4,62064,5176,5.5,1.0,102083,10073,0.7,0.4,64704,15653,57645,*****,20501,719,95.3,0.6,20817,768,1.5,0.2,9270,2254,0.5,0.4,23320,12899,0.1,0.1,9612,8487,0.0,0.1,-,**,1.0,0.5,19718,10374,1.6,0.4,12665,3736,8.5,*****,10239,1691,88.2,0.1,21768,803,27.3,(X),(X),(X),27.9,(X),(X),(X),20.6,(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",3746,216,43910,4404,62.7,5.6,47851,6652,9.5,3.2,14000,6286,41.6,5.9,13278,1184,13.1,3.5,11181,4115,2.9,1.7,2559,2595,19.7,4.5,22705,5434,2265,269,53542,6489,22.9,6.1,N,N,40.0,8.3,N,N,14.3,5.0,N,N,15.7,5.9,N,N,5.8,3.6,N,N,1.3,1.7,N,N,10693,*****,17706,1557,26.2,4.2,29253,4983,71.4,4.3,13490,1404,0.7,0.9,15041,5635,0.1,0.1,N,N,0.4,0.8,N,N,0.0,0.3,-,**,1.2,0.9,21146,17521,4.0,4.2,17535,1792,22.2,0.3,31382,5383,47.7,(X),(X),(X),43.9,(X),(X),(X),36.1,(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8253,252,43157,1984,66.0,2.4,47025,2713,9.4,1.5,9756,5239,42.2,2.5,15512,727,10.2,1.8,7816,833,2.0,0.7,1752,1073,16.4,2.0,18932,1982,5384,321,51426,2636,23.5,2.3,27892,2750,39.4,3.3,39167,2544,24.7,2.8,85791,8924,8.9,2.0,56505,7038,2.6,0.9,97670,17294,0.9,0.8,75546,18018,20523,*****,18115,832,54.6,0.3,22406,1354,43.7,0.5,12341,925,0.1,0.1,4356,3927,0.6,0.4,61293,26308,0.0,0.1,-,**,0.2,0.3,N,N,0.7,0.3,12464,5680,1.1,*****,9761,6566,53.6,0.1,22669,1375,28.4,(X),(X),(X),29.8,(X),(X),(X),24.5,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",45348,705,53011,1493,71.8,1.1,53016,1696,16.7,1.1,9661,2155,37.7,1.1,15796,362,7.5,0.7,8365,362,1.8,0.4,3709,1396,23.6,1.1,21226,1628,30601,767,62930,2200,18.6,1.2,39368,2694,38.5,1.7,47919,2687,26.2,1.6,94749,5140,9.5,1.1,57380,3968,6.1,0.9,99380,7537,1.1,0.4,75883,9198,117186,*****,21306,573,75.2,0.4,23616,729,20.8,0.3,14721,908,0.2,0.1,21748,10151,0.8,0.1,15931,4583,0.0,0.1,N,N,1.1,0.3,10259,2917,1.8,0.3,10312,2921,3.4,*****,12242,1849,73.3,0.1,23872,743,31.1,(X),(X),(X),31.8,(X),(X),(X),24.6,(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",13901,393,49088,3535,66.4,2.4,53497,4367,10.7,1.4,18558,13537,40.5,1.8,15865,644,10.1,1.7,9179,930,1.5,0.5,2458,662,19.7,2.1,15312,1622,8818,410,60997,5435,21.5,2.7,N,N,41.4,3.5,N,N,23.6,2.4,N,N,9.5,1.7,N,N,4.0,1.3,N,N,0.0,0.1,N,N,34091,*****,21240,1482,58.0,0.3,25685,2097,40.3,0.4,13347,856,0.2,0.1,362346,421341,0.6,0.1,24141,10664,0.0,0.1,N,N,0.1,0.1,27074,21244,0.8,0.3,17161,8424,0.5,0.3,10521,7220,57.6,0.1,25806,2121,29.7,(X),(X),(X),31.8,(X),(X),(X),24.0,(X),(X),(X)
