GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",20396,413,64765,2838,75.6,1.8,64789,3137,18.4,1.8,8762,3625,31.9,2.1,17783,856,5.7,1.0,8650,950,2.6,1.3,1380,520,24.5,1.8,25003,2354,14213,539,76352,3376,16.0,1.7,47384,4732,30.6,3.0,55056,3487,36.8,3.0,97990,6560,9.0,2.0,65608,7303,5.9,1.3,145658,29805,1.7,0.7,78775,14177,55221,*****,24974,1080,77.4,0.8,27302,1265,18.7,0.5,17557,2425,0.4,0.2,13169,7683,1.0,0.3,19709,9824,0.0,0.1,N,N,0.9,0.8,13588,6758,1.6,0.5,10988,3619,2.6,*****,20150,4218,75.8,0.2,27389,1268,27.0,(X),(X),(X),26.9,(X),(X),(X),20.9,(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",74104,1265,68169,1776,72.5,0.9,68847,2329,21.3,1.0,16254,2549,37.4,1.2,18879,416,3.9,0.6,8772,880,2.2,0.5,3338,865,23.8,1.2,25104,1523,50276,1220,80396,2791,20.9,1.2,51986,2652,31.4,1.6,71792,5550,31.7,1.6,104376,3860,7.7,1.0,62528,6418,6.6,0.9,113812,7043,1.8,0.5,92552,20162,195121,*****,27317,711,86.4,0.4,29293,813,9.6,0.3,14107,1292,0.6,0.2,23618,7423,0.7,0.2,18748,10928,0.0,0.1,-,**,1.0,0.3,12937,3573,1.7,0.3,14530,5708,4.5,*****,15537,1652,83.1,0.1,29804,828,30.4,(X),(X),(X),32.0,(X),(X),(X),24.1,(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",9222,272,44688,2109,65.0,1.7,47996,2777,13.4,1.7,10219,2383,40.1,2.0,15183,626,12.2,1.8,8609,514,2.0,0.5,1908,570,20.1,2.2,17386,2102,6059,259,53832,2945,24.7,2.4,28862,3360,36.9,3.2,45621,4505,25.7,3.2,84914,6933,5.9,1.5,62218,8177,4.5,1.5,61723,11206,2.2,0.9,69149,15685,26932,*****,16824,798,47.4,0.9,22468,1322,46.8,0.8,11669,811,0.2,0.2,62715,73389,0.9,0.6,21958,20553,0.0,0.1,-,**,3.4,1.0,9464,3752,1.3,0.6,5995,3728,4.6,*****,10321,3215,46.2,0.5,22669,1321,35.7,(X),(X),(X),39.9,(X),(X),(X),28.4,(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",7027,354,52241,4910,68.0,3.1,54268,4025,11.9,2.4,28185,34141,41.1,2.9,17411,967,6.9,2.0,9321,1465,7.6,2.0,2907,1051,22.2,3.3,15139,2705,5296,359,57974,6326,23.0,3.3,30504,3792,35.4,4.6,52660,15292,26.6,4.1,74106,5969,6.3,1.9,64367,21204,6.9,2.2,99688,18948,1.8,1.2,93631,23563,22604,*****,18431,1618,76.7,0.1,20916,2038,21.4,1.0,10045,1561,0.4,0.2,10906,6520,0.1,0.1,N,N,0.0,0.1,-,**,0.0,0.1,N,N,1.4,1.0,14333,8438,2.2,*****,14711,14316,74.5,0.1,21084,1993,45.1,(X),(X),(X),47.5,(X),(X),(X),34.8,(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",20816,427,54884,1963,71.8,1.7,58152,2653,12.5,1.4,7606,2187,36.2,1.4,18312,668,6.7,1.2,10579,980,1.1,0.4,3387,1323,19.6,1.5,19411,1613,15639,416,62256,2389,20.9,1.9,32891,3256,37.1,2.8,52959,3348,30.0,2.3,87234,4542,6.2,1.3,62271,5983,5.4,1.0,101831,10061,0.5,0.3,57034,14171,57710,*****,20532,708,95.1,0.6,20764,758,1.5,0.2,15438,4611,0.6,0.4,21055,12193,0.1,0.1,13937,6038,0.0,0.1,-,**,1.0,0.5,17608,9774,1.7,0.4,14185,4270,8.6,*****,10115,1542,87.9,0.1,21712,816,29.0,(X),(X),(X),29.9,(X),(X),(X),22.3,(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",3683,253,41947,5500,62.5,5.8,46216,6953,9.9,2.7,12960,5502,40.7,4.6,13420,1268,12.2,3.4,12636,5276,4.6,2.2,1240,304,19.8,3.9,20466,4593,2333,290,50410,7380,26.4,6.8,27786,6613,37.9,7.1,47960,9409,17.6,5.3,74628,27108,13.2,4.5,59205,9841,3.6,3.0,97575,16179,1.3,1.8,32871,4592,10678,*****,17580,2055,26.6,4.5,28171,5943,70.7,4.7,13498,1402,1.2,1.4,N,N,0.2,0.2,N,N,0.0,0.3,-,**,0.0,0.3,-,**,1.3,1.3,27816,25124,4.4,4.5,17815,2366,22.2,0.3,30237,6760,48.4,(X),(X),(X),47.4,(X),(X),(X),40.5,(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8056,252,43972,2004,66.5,2.4,47364,2441,10.2,1.5,12271,5913,41.2,2.1,15675,776,9.8,1.9,8209,1009,1.6,0.6,2163,1309,16.6,1.7,18680,2663,5271,272,52301,2399,23.2,2.7,30353,3734,39.9,3.5,40463,3801,24.2,2.3,85347,7714,9.1,1.9,54469,7904,2.5,1.0,103547,19579,1.2,0.8,80313,15742,20354,*****,18390,714,54.2,0.4,22922,1263,44.0,0.5,12772,746,0.1,0.1,3754,5347,0.4,0.4,38198,10217,0.0,0.1,-,**,0.3,0.3,N,N,1.1,0.3,15085,6547,1.2,*****,16069,2651,53.3,0.2,23053,1276,32.1,(X),(X),(X),32.7,(X),(X),(X),27.9,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",45154,645,53457,1386,72.1,1.3,52852,1604,16.3,1.0,9581,2512,39.1,1.2,15892,408,7.5,0.8,8476,478,2.0,0.5,3259,1439,24.8,1.1,20774,1504,30581,689,62958,1822,18.8,1.3,38573,2602,35.9,1.8,46535,2415,26.8,1.6,93139,5807,10.0,1.2,59168,3571,6.8,1.0,99233,8024,1.8,0.6,80140,14261,116648,*****,21374,489,75.1,0.4,23651,668,20.5,0.4,15166,787,0.2,0.1,15906,7896,0.9,0.1,15525,3562,0.0,0.1,-,**,1.0,0.4,11340,2834,2.4,0.4,9622,2150,3.5,*****,10872,1189,73.0,0.1,24012,654,30.9,(X),(X),(X),31.7,(X),(X),(X),24.4,(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",13787,410,49456,3658,66.2,2.2,53334,4176,10.3,1.4,23161,24141,40.4,1.7,16733,716,9.5,1.5,9278,835,1.5,0.6,2489,555,20.0,2.0,15145,1566,8630,396,61346,5624,22.6,2.6,39333,17751,38.4,3.3,54472,7421,23.3,2.6,81548,5997,11.1,2.2,57992,5781,4.2,1.5,136964,67159,0.5,0.4,82005,13682,34079,*****,21071,1366,57.7,0.2,25093,1910,40.3,0.5,14393,950,0.2,0.1,309800,368216,0.8,0.1,24680,11068,0.0,0.1,N,N,0.0,0.1,N,N,1.0,0.4,8705,6928,0.4,0.3,9437,5699,57.3,0.1,25193,1919,34.0,(X),(X),(X),36.8,(X),(X),(X),27.9,(X),(X),(X)
