,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
0,01001,Autauga County, Alabama,0.3198090692124105,3352,516,316,240,176,407,159,225,125,106,276,135,319,166,82,35,69
1,01003,Baldwin County, Alabama,0.36777431637244723,5778,1051,499,575,471,633,219,517,210,246,274,411,396,80,78,27,91
2,01005,Barbour County, Alabama,0.47942438778086344,3961,894,610,395,302,253,143,238,253,119,245,258,151,69,14,6,11
3,01007,Bibb County, Alabama,0.5336426914153132,1293,337,159,194,159,75,71,63,30,19,57,20,96,13,0,0,0
4,01009,Blount County, Alabama,0.21585903083700442,227,22,16,11,47,59,13,26,0,0,18,0,3,12,0,0,0
5,01011,Bullock County, Alabama,0.34791580685101114,2423,511,175,157,381,205,106,94,113,134,191,156,97,82,21,0,0
6,01013,Butler County, Alabama,0.4789691943127962,3376,686,460,471,371,192,270,154,134,104,221,166,95,37,15,0,0
7,01015,Calhoun County, Alabama,0.4333441103567195,9279,2033,1113,875,549,557,408,446,538,404,630,576,745,217,54,31,103
8,01017,Chambers County, Alabama,0.46907706945765937,5255,1137,784,544,357,336,402,247,363,216,111,359,217,84,85,0,13
9,01019,Cherokee County, Alabama,0.5086206896551724,580,103,107,85,0,0,57,143,24,3,0,12,14,32,0,0,0
10,01021,Chilton County, Alabama,0.3951841359773371,1412,306,155,97,169,18,21,50,105,21,57,165,104,130,0,14,0
11,01023,Choctaw County, Alabama,0.4567350579839429,2242,489,322,213,185,150,99,136,58,68,141,153,159,52,5,3,9
12,01025,Clarke County, Alabama,0.5500250125062531,3998,1264,415,520,308,116,173,112,103,175,283,233,104,154,21,8,9
13,01027,Clay County, Alabama,0.44816053511705684,897,199,133,70,15,85,67,62,66,17,54,18,111,0,0,0,0
14,01029,Cleburne County, Alabama,0.3532608695652174,184,55,0,10,23,26,27,0,10,0,9,24,0,0,0,0,0
15,01031,Coffee County, Alabama,0.4676113360323887,2964,736,326,324,248,209,116,91,76,65,139,94,231,147,108,4,50
16,01033,Colbert County, Alabama,0.3734677199673114,3671,707,306,358,296,241,175,205,296,113,242,285,212,191,28,16,0
17,01035,Conecuh County, Alabama,0.5478651685393259,2225,637,368,214,149,146,146,37,116,44,152,114,45,46,9,2,0
18,01037,Coosa County, Alabama,0.47544483985765124,1405,331,201,136,164,108,47,75,23,32,109,106,68,0,0,5,0
19,01039,Covington County, Alabama,0.421875,1728,393,212,124,159,180,143,67,51,85,81,158,19,29,13,0,14
20,01041,Crenshaw County, Alabama,0.4569262577532736,1451,332,222,109,59,150,94,115,26,65,96,50,107,16,10,0,0
21,01043,Cullman County, Alabama,0.37857142857142856,280,55,31,20,17,23,48,13,2,5,0,51,13,0,1,1,0
22,01045,Dale County, Alabama,0.41351724137931034,3625,619,508,372,172,275,195,95,159,220,296,255,236,111,62,48,2
23,01047,Dallas County, Alabama,0.4942232407142175,10473,2931,1207,1038,904,756,558,440,425,351,484,528,399,274,82,76,20
24,01049,DeKalb County, Alabama,0.5178997613365155,419,106,65,46,19,41,14,35,33,10,21,11,18,0,0,0,0
25,01051,Elmore County, Alabama,0.26565425421260663,4807,640,425,212,332,504,521,328,152,208,248,450,421,131,146,80,9
26,01053,Escambia County, Alabama,0.4429783223374175,4244,909,688,283,729,225,285,125,152,100,72,368,219,76,0,0,13
27,01055,Etowah County, Alabama,0.4193493730938665,5902,883,761,831,668,287,307,275,439,101,357,453,231,182,73,17,37
28,01057,Fayette County, Alabama,0.5490445859872611,785,236,118,77,73,17,25,27,22,48,17,67,44,14,0,0,0
29,01059,Franklin County, Alabama,0.3622950819672131,610,114,31,76,100,34,98,28,30,19,12,27,31,0,0,10,0
