,id,mean_income,year
0,01001,64765,15
1,01003,68169,15
2,01005,44688,15
3,01007,52241,15
4,01009,54884,15
5,01011,41947,15
6,01013,43972,15
7,01015,53457,15
8,01017,49456,15
9,01019,50591,15
10,01021,55546,15
11,01023,47721,15
12,01025,48153,15
13,01027,44846,15
14,01029,50244,15
15,01031,62808,15
16,01033,53233,15
17,01035,38051,15
18,01037,41365,15
19,01039,50925,15
20,01041,50203,15
21,01043,51783,15
22,01045,55568,15
23,01047,43626,15
24,01049,48656,15
25,01051,66592,15
26,01053,44903,15
27,01055,51264,15
28,01057,46340,15
29,01059,47562,15
30,01061,49044,15
31,01063,33110,15
32,01065,46127,15
33,01067,54837,15
34,01069,59545,15
35,01071,48877,15
36,01073,66801,15
37,01075,47505,15
38,01077,56821,15
39,01079,52205,15
40,01081,61914,15
41,01083,67715,15
42,01085,45423,15
43,01087,41830,15
44,01089,79044,15
45,01091,50336,15
46,01093,47656,15
47,01095,55974,15
48,01097,58783,15
49,01099,39437,15
50,01101,62201,15
51,01103,60761,15
52,01105,38795,15
53,01107,42939,15
54,01109,48558,15
55,01111,46845,15
56,01113,49746,15
57,01115,62766,15
58,01117,87820,15
59,01119,31841,15
60,01121,48642,15
61,01123,51602,15
62,01125,62431,15
63,01127,49856,15
64,01129,51777,15
65,01131,36925,15
66,01133,45018,15
67,02013,71231,15
68,02016,94923,15
69,02020,99630,15
70,02050,65709,15
71,02060,87875,15
72,02068,89038,15
73,02070,69872,15
74,02090,86453,15
75,02100,76126,15
76,02105,67142,15
77,02110,102355,15
78,02122,78118,15
79,02130,80178,15
80,02150,82983,15
81,02158,48392,15
82,02164,63274,15
83,02170,85204,15
84,02180,64816,15
85,02185,88398,15
86,02188,78387,15
87,02195,83344,15
88,02198,63684,15
89,02220,82614,15
90,02230,81486,15
91,02240,72110,15
92,02261,88839,15
93,02275,62771,15
94,02282,73067,15
95,02290,52496,15
96,04001,41523,15
97,04003,59305,15
98,04005,68735,15
99,04007,49868,15
100,04009,55869,15
101,04011,61585,15
102,04012,43636,15
103,04013,74347,15
104,04015,50762,15
105,04017,48549,15
106,04019,63944,15
107,04021,60169,15
108,04023,52983,15
109,04025,58003,15
110,04027,54022,15
111,05001,52891,15
112,05003,49387,15
113,05005,49367,15
114,05007,76269,15
115,05009,52545,15
116,05011,48207,15
117,05013,48201,15
118,05015,48204,15
119,05017,46711,15
120,05019,49312,15
121,05021,43625,15
122,05023,58972,15
123,05025,55059,15
124,05027,50019,15
125,05029,53564,15
126,05031,59163,15
127,05033,53944,15
128,05035,51571,15
129,05037,48635,15
130,05039,44244,15
131,05041,41200,15
132,05043,43927,15
133,05045,65086,15
134,05047,49443,15
135,05049,45069,15
136,05051,56414,15
137,05053,60657,15
138,05055,52017,15
139,05057,44026,15
140,05059,50448,15
141,05061,53760,15
142,05063,50920,15
143,05065,44578,15
144,05067,46279,15
145,05069,50679,15
146,05071,49054,15
147,05073,48719,15
148,05075,42338,15
149,05077,38639,15
150,05079,50527,15
151,05081,47093,15
152,05083,49390,15
153,05085,63093,15
154,05087,51035,15
155,05089,41541,15
156,05091,51692,15
157,05093,48548,15
158,05095,39360,15
159,05097,45810,15
