GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2012 inflation-adjusted dollars)
0500000US01001,01001,"Autauga County, Alabama",29164,2739
0500000US01003,01003,"Baldwin County, Alabama",28435,2757
0500000US01005,01005,"Barbour County, Alabama",19139,2741
0500000US01007,01007,"Bibb County, Alabama",18515,3361
0500000US01009,01009,"Blount County, Alabama",25152,2968
0500000US01011,01011,"Bullock County, Alabama",26217,4344
0500000US01013,01013,"Butler County, Alabama",20477,2042
0500000US01015,01015,"Calhoun County, Alabama",25846,2947
0500000US01017,01017,"Chambers County, Alabama",21038,2780
0500000US01019,01019,"Cherokee County, Alabama",17425,13000
0500000US01021,01021,"Chilton County, Alabama",24900,13122
0500000US01023,01023,"Choctaw County, Alabama",22269,7045
0500000US01025,01025,"Clarke County, Alabama",18519,2595
0500000US01027,01027,"Clay County, Alabama",23368,7427
0500000US01029,01029,"Cleburne County, Alabama",31304,9271
0500000US01031,01031,"Coffee County, Alabama",21795,3291
0500000US01033,01033,"Colbert County, Alabama",30023,5890
0500000US01035,01035,"Conecuh County, Alabama",18282,2852
0500000US01037,01037,"Coosa County, Alabama",24230,2428
0500000US01039,01039,"Covington County, Alabama",22922,4136
0500000US01041,01041,"Crenshaw County, Alabama",25590,4026
0500000US01043,01043,"Cullman County, Alabama",27700,12767
0500000US01045,01045,"Dale County, Alabama",30236,3255
0500000US01047,01047,"Dallas County, Alabama",19295,2104
0500000US01049,01049,"DeKalb County, Alabama",25089,16942
0500000US01051,01051,"Elmore County, Alabama",32597,2925
0500000US01053,01053,"Escambia County, Alabama",21872,1638
0500000US01055,01055,"Etowah County, Alabama",22657,1889
0500000US01057,01057,"Fayette County, Alabama",15905,7283
0500000US01059,01059,"Franklin County, Alabama",19858,8128
0500000US01061,01061,"Geneva County, Alabama",21061,6431
0500000US01063,01063,"Greene County, Alabama",19242,2620
0500000US01065,01065,"Hale County, Alabama",22278,2192
0500000US01067,01067,"Henry County, Alabama",22088,5956
0500000US01069,01069,"Houston County, Alabama",23835,1078
0500000US01071,01071,"Jackson County, Alabama",27500,10049
0500000US01073,01073,"Jefferson County, Alabama",31850,646
0500000US01075,01075,"Lamar County, Alabama",18750,6210
0500000US01077,01077,"Lauderdale County, Alabama",22146,4126
0500000US01079,01079,"Lawrence County, Alabama",32602,2710
0500000US01081,01081,"Lee County, Alabama",29404,2181
0500000US01083,01083,"Limestone County, Alabama",36712,4788
0500000US01085,01085,"Lowndes County, Alabama",19964,2845
0500000US01087,01087,"Macon County, Alabama",26000,1682
0500000US01089,01089,"Madison County, Alabama",36426,1474
0500000US01091,01091,"Marengo County, Alabama",22043,2884
0500000US01093,01093,"Marion County, Alabama",23011,5495
0500000US01095,01095,"Marshall County, Alabama",17853,3831
0500000US01097,01097,"Mobile County, Alabama",27896,985
0500000US01099,01099,"Monroe County, Alabama",22151,4040
0500000US01101,01101,"Montgomery County, Alabama",33920,1747
0500000US01103,01103,"Morgan County, Alabama",23278,2299
0500000US01105,01105,"Perry County, Alabama",23716,2227
0500000US01107,01107,"Pickens County, Alabama",17093,2380
0500000US01109,01109,"Pike County, Alabama",22375,2052
0500000US01111,01111,"Randolph County, Alabama",26324,4261
0500000US01113,01113,"Russell County, Alabama",26443,1852
0500000US01115,01115,"St. Clair County, Alabama",39327,5412
0500000US01117,01117,"Shelby County, Alabama",53606,5899
0500000US01119,01119,"Sumter County, Alabama",17195,2793
0500000US01121,01121,"Talladega County, Alabama",24007,2641
0500000US01123,01123,"Tallapoosa County, Alabama",25037,4084
0500000US01125,01125,"Tuscaloosa County, Alabama",30801,1831
0500000US01127,01127,"Walker County, Alabama",25031,7170
0500000US01129,01129,"Washington County, Alabama",23979,4016
0500000US01131,01131,"Wilcox County, Alabama",16487,2151
0500000US01133,01133,"Winston County, Alabama",-,**
0500000US02013,02013,"Aleutians East Borough, Alaska",-,**
0500000US02016,02016,"Aleutians West Census Area, Alaska",-,**
0500000US02020,02020,"Anchorage Municipality, Alaska",51952,8429
0500000US02050,02050,"Bethel Census Area, Alaska",29135,181741
0500000US02060,02060,"Bristol Bay Borough, Alaska",-,**
0500000US02068,02068,"Denali Borough, Alaska",-,**
0500000US02070,02070,"Dillingham Census Area, Alaska",18125,21672
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",60208,18798
0500000US02100,02100,"Haines Borough, Alaska",-,**
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",-,**
0500000US02110,02110,"Juneau City and Borough, Alaska",60417,5961
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",50341,25255
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",-,**
0500000US02150,02150,"Kodiak Island Borough, Alaska",90938,30894
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",-,**
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",61653,3003
0500000US02180,02180,"Nome Census Area, Alaska",157813,138841
0500000US02185,02185,"North Slope Borough, Alaska",108661,7226
0500000US02188,02188,"Northwest Arctic Borough, Alaska",73036,11196
0500000US02195,02195,"Petersburg Census Area, Alaska",82500,55763
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",16667,13789
0500000US02220,02220,"Sitka City and Borough, Alaska",-,**
0500000US02230,02230,"Skagway Municipality, Alaska",-,**
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",85417,45063
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",-,**
0500000US02270,02270,"Wade Hampton Census Area, Alaska",-,**
0500000US02275,02275,"Wrangell City and Borough, Alaska",-,**
0500000US02282,02282,"Yakutat City and Borough, Alaska",-,**
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",-,**
0500000US04001,04001,"Apache County, Arizona",26250,15104
0500000US04003,04003,"Cochise County, Arizona",62202,16786
0500000US04005,04005,"Coconino County, Arizona",49545,20076
0500000US04007,04007,"Gila County, Arizona",24875,96074
0500000US04009,04009,"Graham County, Arizona",40893,28749
0500000US04011,04011,"Greenlee County, Arizona",80577,8849
0500000US04012,04012,"La Paz County, Arizona","2,500-",***
0500000US04013,04013,"Maricopa County, Arizona",40451,1484
0500000US04015,04015,"Mohave County, Arizona",27500,9468
0500000US04017,04017,"Navajo County, Arizona",33071,26287
0500000US04019,04019,"Pima County, Arizona",38586,3172
0500000US04021,04021,"Pinal County, Arizona",51944,6231
0500000US04023,04023,"Santa Cruz County, Arizona",96250,118420
0500000US04025,04025,"Yavapai County, Arizona",45529,27146
0500000US04027,04027,"Yuma County, Arizona",49250,12900
0500000US05001,05001,"Arkansas County, Arkansas",25902,3753
0500000US05003,05003,"Ashley County, Arkansas",21426,1786
0500000US05005,05005,"Baxter County, Arkansas",-,**
0500000US05007,05007,"Benton County, Arkansas",50625,44581
0500000US05009,05009,"Boone County, Arkansas",33929,9684
0500000US05011,05011,"Bradley County, Arkansas",23887,9279
0500000US05013,05013,"Calhoun County, Arkansas",27014,4388
0500000US05015,05015,"Carroll County, Arkansas",17250,9930
0500000US05017,05017,"Chicot County, Arkansas",19247,1658
0500000US05019,05019,"Clark County, Arkansas",23258,5343
0500000US05021,05021,"Clay County, Arkansas",-,**
0500000US05023,05023,"Cleburne County, Arkansas",-,**
0500000US05025,05025,"Cleveland County, Arkansas",17500,14282
0500000US05027,05027,"Columbia County, Arkansas",19379,2723
0500000US05029,05029,"Conway County, Arkansas",21915,6839
0500000US05031,05031,"Craighead County, Arkansas",21972,3582
0500000US05033,05033,"Crawford County, Arkansas",40089,42126
0500000US05035,05035,"Crittenden County, Arkansas",26103,1771
