GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US01001,01001,"Autauga County, Alabama",3312,178,541,159,378,117,318,107,226,100,282,97,108,54,199,78,164,113,115,79,295,105,242,120,215,92,121,72,86,72,22,37,0,119
0500000US01003,01003,"Baldwin County, Alabama",5761,344,1063,292,461,176,573,198,604,177,304,154,326,168,286,150,509,215,162,125,428,174,328,156,338,127,263,119,76,63,0,119,40,53
0500000US01005,01005,"Barbour County, Alabama",4393,283,1219,219,503,137,397,111,311,119,254,94,280,123,343,123,124,76,97,62,308,146,211,80,232,100,75,51,0,119,9,15,30,43
0500000US01007,01007,"Bibb County, Alabama",969,171,218,118,137,81,64,52,142,120,46,42,61,41,3,10,22,35,27,39,45,61,94,66,35,37,9,10,47,51,19,29,0,119
0500000US01009,01009,"Blount County, Alabama",321,89,56,69,15,26,45,51,104,75,11,22,13,20,0,119,0,119,48,61,0,119,3,9,26,34,0,119,0,119,0,119,0,119
0500000US01011,01011,"Bullock County, Alabama",2539,217,563,155,247,108,267,115,254,136,244,140,115,71,169,101,80,63,87,101,151,78,145,78,125,73,49,55,3,5,40,30,0,119
0500000US01013,01013,"Butler County, Alabama",3063,241,633,166,393,109,394,128,305,98,221,92,304,105,145,67,92,66,89,65,137,66,253,97,70,39,21,23,6,11,0,119,0,119
0500000US01015,01015,"Calhoun County, Alabama",9252,400,2312,355,1041,226,927,223,727,191,575,207,635,195,326,137,290,112,225,107,485,156,640,162,571,174,239,121,67,54,133,80,59,63
0500000US01017,01017,"Chambers County, Alabama",4969,278,979,167,689,159,588,191,448,161,214,71,343,110,495,195,246,109,130,59,355,118,201,87,218,116,28,29,20,26,0,119,15,22
