,id,County,State,percent_poor,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",year
1,01001,Autauga County, Alabama,0.1771027456826935,16098,687,997,509,658,590,1021,960,972,625,1402,1925,2242,1831,687,596,396,15
2,01003,Baldwin County, Alabama,0.2172039677619343,64520,3549,3035,3338,4092,3251,3264,3261,3434,2966,5953,6372,8002,5040,3437,2812,2714,15
3,01005,Barbour County, Alabama,0.26978723404255317,4700,251,333,339,345,257,295,322,206,207,419,435,646,368,98,127,52,15
4,01007,Bibb County, Alabama,0.2630294579048283,5737,430,285,342,452,302,619,240,353,290,581,528,709,221,233,107,45,15
5,01009,Blount County, Alabama,0.25466359253825194,19084,1492,1196,1005,1167,1117,1233,923,1009,777,1670,2584,2298,1418,604,415,176,15
6,01011,Bullock County, Alabama,0.16907216494845362,970,70,42,0,52,99,21,10,107,76,109,126,116,65,13,24,40,15
7,01013,Butler County, Alabama,0.2930486142662426,4402,417,320,273,280,263,271,268,163,247,358,438,534,271,138,119,42,15
8,01015,Calhoun County, Alabama,0.2603707755536501,33821,2638,2125,1932,2111,2021,1861,1474,2121,1502,3408,3826,3713,2333,1333,867,556,15
9,01017,Chambers County, Alabama,0.2894478527607362,8150,607,740,616,396,428,636,419,360,400,685,809,1052,505,198,142,157,15
10,01019,Cherokee County, Alabama,0.33135414671518865,10442,980,881,669,930,821,593,678,455,479,813,857,1166,516,252,219,133,15
11,01021,Chilton County, Alabama,0.26561241672157554,13659,1121,898,730,879,849,963,889,793,568,1153,1404,1551,782,538,371,170,15
12,01023,Choctaw County, Alabama,0.29114331723027376,3105,298,187,291,128,139,206,116,178,144,186,379,391,207,84,115,56,15
13,01025,Clarke County, Alabama,0.31077147016011647,5496,697,257,324,430,328,299,297,259,273,306,457,637,563,90,112,167,15
14,01027,Clay County, Alabama,0.34412684234033053,4478,397,398,330,416,364,188,201,280,263,426,377,436,165,146,58,33,15
15,01029,Cleburne County, Alabama,0.3138672599184279,5394,479,506,295,413,378,405,256,287,240,464,519,523,258,249,37,85,15
16,01031,Coffee County, Alabama,0.23606421828705298,14513,795,1104,690,837,770,695,663,678,627,1132,1465,2008,1293,686,796,274,15
17,01033,Colbert County, Alabama,0.281271015467384,17844,1511,963,1264,1281,1227,1052,1003,706,807,1550,1844,2369,1095,467,475,230,15
18,01035,Conecuh County, Alabama,0.393294881038212,2774,305,323,235,228,186,139,119,97,125,228,245,311,109,44,52,28,15
19,01037,Coosa County, Alabama,0.30479102956167176,2943,238,223,247,189,172,185,144,211,156,340,316,317,90,31,61,23,15
20,01039,Covington County, Alabama,0.31146511810405714,12743,1154,839,944,1032,863,919,647,650,518,1300,1173,1155,606,419,289,235,15
21,01041,Crenshaw County, Alabama,0.3151116951379763,3805,301,349,281,268,224,234,140,170,187,385,343,383,250,86,86,118,15
22,01043,Cullman County, Alabama,0.30692700754627594,29551,3017,1970,2141,1942,1909,1800,2068,1856,1329,2142,2910,3162,1469,579,747,510,15
23,01045,Dale County, Alabama,0.2434914665895285,13828,1212,658,773,724,528,750,688,711,671,1228,1764,1836,1061,498,506,220,15
24,01047,Dallas County, Alabama,0.23804800634794684,5041,372,229,280,319,279,348,149,238,267,337,534,659,397,209,127,297,15
25,01049,DeKalb County, Alabama,0.3180140273163529,21672,2059,1742,1564,1527,1484,1190,1451,1021,1129,2051,2219,2316,989,351,278,301,15
26,01051,Elmore County, Alabama,0.17937259808740727,22378,1112,1013,813,1076,1161,1027,1147,1034,1030,1959,2538,3461,2593,982,840,592,15
27,01053,Escambia County, Alabama,0.3394030194767777,8677,913,770,670,592,399,531,507,542,345,763,744,781,687,145,145,143,15
28,01055,Etowah County, Alabama,0.3117525263450663,32359,2523,2369,2598,2598,2085,1751,1662,1393,1225,2976,3465,3870,1902,918,589,435,15
29,01057,Fayette County, Alabama,0.32095046854083,5976,716,423,432,347,392,484,404,319,288,405,519,680,279,107,75,106,15
30,01059,Franklin County, Alabama,0.3449985418489355,10287,1024,751,807,967,587,827,553,551,655,770,859,1017,549,96,133,141,15
31,01061,Geneva County, Alabama,0.3473774720550301,9304,861,866,838,667,553,569,445,584,408,612,965,935,474,214,180,133,15
32,01063,Greene County, Alabama,0.3338607594936709,632,74,41,37,59,38,8,39,17,67,58,42,66,29,30,9,18,15
33,01065,Hale County, Alabama,0.262250098000784,2551,213,126,132,198,181,133,122,106,138,217,264,336,154,73,77,81,15
34,01067,Henry County, Alabama,0.24103706704476402,4937,384,249,342,215,267,266,239,236,212,375,722,574,388,251,166,51,15
35,01069,Houston County, Alabama,0.22789615040286482,27925,1717,1531,1639,1477,1598,1644,1670,1468,1334,2373,2869,3444,2009,1082,1033,1037,15
36,01071,Jackson County, Alabama,0.3256138093706444,18654,1792,1560,1398,1324,1256,1228,1318,971,815,1462,1873,1863,792,388,337,277,15
37,01073,Jefferson County, Alabama,0.19358112937812724,139900,8042,5549,6888,6603,6847,6279,6503,5986,4672,11252,14587,17531,13705,7484,8532,9440,15
38,01075,Lamar County, Alabama,0.31152825180128935,5274,539,531,346,227,466,330,398,245,325,482,587,357,217,93,77,54,15
39,01077,Lauderdale County, Alabama,0.27784003774920374,33908,2843,2494,2101,1983,1790,1935,1650,2078,1653,3037,3677,3681,1994,1291,1022,679,15
40,01079,Lawrence County, Alabama,0.293416572077185,10572,829,850,733,690,960,639,556,528,531,822,925,1196,497,469,271,76,15
41,01081,Lee County, Alabama,0.2810688746706812,39855,4744,2494,1875,2089,1543,1722,1676,1906,1671,2916,3793,4973,3325,1802,1863,1463,15
42,01083,Limestone County, Alabama,0.2287076992959346,26418,1641,1516,1513,1372,1505,1467,1151,1226,1319,2024,2285,3309,2308,1282,1619,881,15
43,01085,Lowndes County, Alabama,0.1762621789193977,1129,20,42,83,54,78,82,57,68,54,88,114,118,82,94,34,61,15
44,01087,Macon County, Alabama,0.30708661417322836,1397,103,61,106,159,97,71,126,101,83,112,108,121,97,20,18,14,15
45,01089,Madison County, Alabama,0.15744864092761415,95212,4264,3545,3428,3754,4332,4239,4185,3977,3582,6946,9510,12452,10353,6918,7758,5969,15
46,01091,Marengo County, Alabama,0.24939532383767804,3721,210,218,227,273,94,262,114,188,142,399,383,360,439,191,124,97,15
47,01093,Marion County, Alabama,0.3854210305823209,11935,1415,1025,972,1188,826,769,752,645,445,960,808,822,558,306,245,199,15
48,01095,Marshall County, Alabama,0.30367435158501443,30536,2379,2473,2119,2302,2287,1710,1713,1698,1196,2240,2818,3236,1746,914,848,857,15
49,01097,Mobile County, Alabama,0.2196364564609281,94019,6130,4726,4947,4847,4772,4702,4659,4211,4122,9053,10572,12405,8113,4002,3659,3099,15
50,01099,Monroe County, Alabama,0.35959679078378937,4861,820,298,372,258,311,195,272,234,306,348,486,461,293,77,117,13,15
51,01101,Montgomery County, Alabama,0.17557646291059387,36776,1793,1621,1464,1579,1844,1574,1661,1664,1695,2938,3698,4888,3654,1957,2244,2502,15
52,01103,Morgan County, Alabama,0.2302167948786917,37178,2426,2089,1983,2061,2285,2006,2019,1805,1898,3333,3927,4618,2968,1360,1447,953,15
53,01105,Perry County, Alabama,0.3154056517775752,1097,111,81,57,97,35,73,47,72,30,84,172,75,22,54,80,7,15
54,01107,Pickens County, Alabama,0.3040731866695709,4591,511,230,317,338,327,175,264,323,130,540,381,565,213,121,87,69,15
55,01109,Pike County, Alabama,0.2837384181549617,7447,785,377,508,443,372,448,392,443,456,536,683,783,514,233,313,161,15
56,01111,Randolph County, Alabama,0.33162100456621,7008,718,788,290,528,382,381,367,435,422,736,755,527,336,196,42,105,15
57,01113,Russell County, Alabama,0.2671280276816609,11560,886,540,949,713,722,818,745,623,515,958,1220,1687,536,242,289,117,15
58,01115,St. Clair County, Alabama,0.2229077064090813,28366,1882,1665,1219,1557,2101,1410,1225,900,1287,2702,3652,4109,2056,1040,991,570,15
59,01117,Shelby County, Alabama,0.13775930926318172,61847,2174,1701,2203,2442,2710,2545,1997,2649,2080,4448,6489,9741,7115,4587,4780,4186,15
60,01119,Sumter County, Alabama,0.27961672473867594,1148,158,93,48,22,47,17,68,91,48,56,114,197,121,17,45,6,15
61,01121,Talladega County, Alabama,0.30450111078914327,20706,1548,1693,1561,1503,1323,1407,1062,1088,1058,1792,1831,2114,1243,722,522,239,15
62,01123,Tallapoosa County, Alabama,0.258230012825994,11695,912,653,878,577,563,650,672,439,673,1092,1360,1462,796,394,338,236,15
63,01125,Tuscaloosa County, Alabama,0.2333744241873743,46239,3512,2476,2104,2699,2112,1781,1839,2395,2052,3666,4461,6999,4087,2405,1910,1741,15
64,01127,Walker County, Alabama,0.3502314021254714,23336,2268,1982,1959,1964,1540,1423,1212,956,1113,1857,2155,2084,1282,730,461,350,15
65,01129,Washington County, Alabama,0.27846564700169946,4119,322,226,292,307,230,307,129,297,234,361,408,512,260,125,62,47,15
66,01131,Wilcox County, Alabama,0.2664359861591695,1156,66,85,66,91,109,98,41,41,60,77,88,118,116,24,62,14,15
