GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0500000US01001,01001,"Autauga County, Alabama",32073,2823
0500000US01003,01003,"Baldwin County, Alabama",26967,2845
0500000US01005,01005,"Barbour County, Alabama",21171,1934
0500000US01007,01007,"Bibb County, Alabama",27793,10951
0500000US01009,01009,"Blount County, Alabama",31507,4278
0500000US01011,01011,"Bullock County, Alabama",24595,3592
0500000US01013,01013,"Butler County, Alabama",23453,2078
0500000US01015,01015,"Calhoun County, Alabama",26071,1934
0500000US01017,01017,"Chambers County, Alabama",25442,2733
0500000US01019,01019,"Cherokee County, Alabama",32973,12640
0500000US01021,01021,"Chilton County, Alabama",35189,10636
0500000US01023,01023,"Choctaw County, Alabama",21661,2851
0500000US01025,01025,"Clarke County, Alabama",19650,3528
0500000US01027,01027,"Clay County, Alabama",30343,3848
0500000US01029,01029,"Cleburne County, Alabama",30335,14521
0500000US01031,01031,"Coffee County, Alabama",26605,2686
0500000US01033,01033,"Colbert County, Alabama",28778,3836
0500000US01035,01035,"Conecuh County, Alabama",17366,2815
0500000US01037,01037,"Coosa County, Alabama",23473,2955
0500000US01039,01039,"Covington County, Alabama",21875,4112
0500000US01041,01041,"Crenshaw County, Alabama",21614,3311
0500000US01043,01043,"Cullman County, Alabama",33333,7638
0500000US01045,01045,"Dale County, Alabama",26807,2498
0500000US01047,01047,"Dallas County, Alabama",20462,1708
0500000US01049,01049,"DeKalb County, Alabama",27629,6849
0500000US01051,01051,"Elmore County, Alabama",34370,5040
0500000US01053,01053,"Escambia County, Alabama",21925,1785
0500000US01055,01055,"Etowah County, Alabama",24950,2513
0500000US01057,01057,"Fayette County, Alabama",17270,14032
0500000US01059,01059,"Franklin County, Alabama",27340,13949
0500000US01061,01061,"Geneva County, Alabama",24296,2332
0500000US01063,01063,"Greene County, Alabama",17731,2651
0500000US01065,01065,"Hale County, Alabama",25127,2335
0500000US01067,01067,"Henry County, Alabama",22207,5905
0500000US01069,01069,"Houston County, Alabama",24982,1126
0500000US01071,01071,"Jackson County, Alabama",20238,10028
0500000US01073,01073,"Jefferson County, Alabama",31867,737
0500000US01075,01075,"Lamar County, Alabama",19792,6890
0500000US01077,01077,"Lauderdale County, Alabama",25992,3063
0500000US01079,01079,"Lawrence County, Alabama",30417,3566
0500000US01081,01081,"Lee County, Alabama",29991,2799
0500000US01083,01083,"Limestone County, Alabama",38971,4595
0500000US01085,01085,"Lowndes County, Alabama",19510,1754
0500000US01087,01087,"Macon County, Alabama",28249,2362
0500000US01089,01089,"Madison County, Alabama",35950,1360
0500000US01091,01091,"Marengo County, Alabama",20262,3707
0500000US01093,01093,"Marion County, Alabama",27727,20681
0500000US01095,01095,"Marshall County, Alabama",25688,7270
0500000US01097,01097,"Mobile County, Alabama",28066,1047
0500000US01099,01099,"Monroe County, Alabama",17029,1899
0500000US01101,01101,"Montgomery County, Alabama",34180,1363
0500000US01103,01103,"Morgan County, Alabama",25944,3333
0500000US01105,01105,"Perry County, Alabama",19336,2859
0500000US01107,01107,"Pickens County, Alabama",18722,3559
0500000US01109,01109,"Pike County, Alabama",21852,2198
0500000US01111,01111,"Randolph County, Alabama",28219,5356
0500000US01113,01113,"Russell County, Alabama",30005,1601
0500000US01115,01115,"St. Clair County, Alabama",42069,13010
0500000US01117,01117,"Shelby County, Alabama",58780,4763
0500000US01119,01119,"Sumter County, Alabama",15730,1643
0500000US01121,01121,"Talladega County, Alabama",24692,2318
0500000US01123,01123,"Tallapoosa County, Alabama",23739,2740
0500000US01125,01125,"Tuscaloosa County, Alabama",31879,1666
0500000US01127,01127,"Walker County, Alabama",24898,3165
0500000US01129,01129,"Washington County, Alabama",32361,9579
0500000US01131,01131,"Wilcox County, Alabama",18154,2791
0500000US01133,01133,"Winston County, Alabama",-,**
0500000US02013,02013,"Aleutians East Borough, Alaska",31250,27327
0500000US02016,02016,"Aleutians West Census Area, Alaska",93750,47200
0500000US02020,02020,"Anchorage Municipality, Alaska",50535,6936
0500000US02050,02050,"Bethel Census Area, Alaska",73661,24769
0500000US02060,02060,"Bristol Bay Borough, Alaska",-,**
0500000US02068,02068,"Denali Borough, Alaska",-,**
0500000US02070,02070,"Dillingham Census Area, Alaska",-,**
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",56353,8909
0500000US02100,02100,"Haines Borough, Alaska",-,**
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",-,**
0500000US02110,02110,"Juneau City and Borough, Alaska",106964,55981
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",122660,81285
0500000US02150,02150,"Kodiak Island Borough, Alaska",26827,8415
0500000US02158,02158,"Kusilvak Census Area, Alaska",-,**
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",-,**
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",55577,28181
0500000US02185,02185,"North Slope Borough, Alaska",107500,49700
0500000US02188,02188,"Northwest Arctic Borough, Alaska",-,**
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",31250,19368
0500000US02220,02220,"Sitka City and Borough, Alaska",143125,87316
0500000US02230,02230,"Skagway Municipality, Alaska",-,**
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",51563,12765
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",-,**
0500000US02275,02275,"Wrangell City and Borough, Alaska",-,**
0500000US02282,02282,"Yakutat City and Borough, Alaska",-,**
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",-,**
0500000US04001,04001,"Apache County, Arizona",31761,6837
0500000US04003,04003,"Cochise County, Arizona",66734,17957
0500000US04005,04005,"Coconino County, Arizona",29613,20049
0500000US04011,04011,"Greenlee County, Arizona",100682,28324
0500000US04012,04012,"La Paz County, Arizona",-,**
0500000US04013,04013,"Maricopa County, Arizona",39059,1369
0500000US04015,04015,"Mohave County, Arizona",30859,20119
0500000US04019,04019,"Pima County, Arizona",36278,4587
0500000US04021,04021,"Pinal County, Arizona",52107,7831
0500000US04023,04023,"Santa Cruz County, Arizona",101563,37874
0500000US04025,04025,"Yavapai County, Arizona",50781,9471
0500000US04027,04027,"Yuma County, Arizona",44348,10714
0500000US05001,05001,"Arkansas County, Arkansas",26242,2605
0500000US05003,05003,"Ashley County, Arkansas",18810,3173
0500000US05005,05005,"Baxter County, Arkansas",-,**
0500000US05007,05007,"Benton County, Arkansas",56509,21843
0500000US05009,05009,"Boone County, Arkansas",-,**
0500000US05011,05011,"Bradley County, Arkansas",22500,7286
0500000US05013,05013,"Calhoun County, Arkansas",27891,8353
