GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0100000US,,United States,114761359,251732,76507230,233809,56624086,295387,38254129,44530,7.1,0.1,4.5,0.1,1.5,0.1,13.7,0.1,5.4,0.1,3.2,0.1,1.6,0.1,10.4,0.1,10.6,0.1,8.1,0.1,5.4,0.1,16.4,0.1,10.4,0.1,9.1,0.1,7.3,0.1,13.4,0.1,13.8,0.1,13.3,0.1,12.2,0.1,14.8,0.1,18.3,0.1,19.6,0.1,20.6,0.1,15.1,0.1,12.4,0.1,14.5,0.1,16.8,0.1,7.2,0.1,12.7,0.1,15.8,0.1,19.4,0.1,5.5,0.1,4.7,0.1,6.0,0.1,7.6,0.1,1.7,0.1,4.5,0.1,5.8,0.1,7.5,0.1,1.6,0.1,52762,99,64293,191,76742,172,31749,73,72555,125,84422,204,98009,178,45893,99,27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.8,(X)
0500000US01001,01001,"Autauga County, Alabama",19998,396,14631,451,11217,480,5367,421,6.5,1.0,3.9,1.1,1.0,0.6,16.3,3.3,4.2,0.9,1.9,0.7,1.3,0.6,10.7,2.7,8.8,1.4,6.1,1.4,3.8,1.2,16.2,3.2,11.3,1.5,7.4,1.4,5.3,1.3,20.3,3.8,14.3,1.7,14.7,2.0,12.9,2.0,14.9,3.2,20.3,1.9,23.1,2.5,24.5,3.2,10.5,2.9,15.1,1.6,18.8,2.1,21.5,2.7,5.2,1.8,13.9,1.5,16.7,1.9,20.7,2.5,5.4,2.5,3.9,0.6,4.9,0.8,6.3,1.1,0.5,0.5,1.8,0.6,2.4,0.8,2.7,1.1,0.1,0.1,53899,2410,65706,3462,75989,2753,28061,2059,66457,2525,77032,3068,85150,3068,35296,3012,21.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.0,(X)
0500000US01003,01003,"Baldwin County, Alabama",70757,1214,50922,1117,40912,1202,19835,1005,5.6,0.7,3.2,0.6,1.3,0.4,12.7,1.8,4.9,0.6,3.4,0.7,1.5,0.4,9.7,1.6,11.6,1.1,8.5,1.1,6.8,1.1,20.0,2.2,10.6,1.1,9.0,1.0,7.4,1.0,15.0,2.3,15.9,1.0,15.4,1.2,14.9,1.4,17.3,2.1,19.4,1.3,21.5,1.3,22.9,1.5,13.6,2.2,12.7,1.0,14.8,1.4,16.8,1.5,5.7,1.5,11.8,1.0,14.6,1.2,17.1,1.4,4.2,1.1,3.9,0.5,5.0,0.6,6.0,0.8,0.9,0.5,3.6,0.4,4.5,0.6,5.4,0.7,0.9,0.4,51321,1499,61835,1701,69065,2040,28964,1533,67770,1589,77638,1763,85608,2031,40294,2375,30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
0500000US01005,01005,"Barbour County, Alabama",9589,326,6634,331,4368,288,2955,293,15.9,2.5,9.7,2.8,3.0,2.1,29.7,5.5,10.9,1.8,7.1,2.0,4.0,1.8,20.1,4.5,13.9,1.9,11.3,1.9,8.0,2.1,19.6,3.7,10.4,1.6,9.9,1.8,8.9,2.0,11.9,3.7,16.1,2.7,19.8,3.4,20.2,3.8,7.8,3.1,17.9,2.5,22.7,3.3,28.1,4.1,6.3,2.5,8.1,1.4,10.2,1.8,14.0,2.5,3.5,2.1,4.7,1.0,6.1,1.5,8.9,2.1,1.0,1.0,1.8,0.7,2.6,1.0,3.9,1.4,0.0,1.1,0.4,0.3,0.6,0.5,0.9,0.8,0.0,1.1,34041,3009,42934,2552,53566,2431,15077,2198,42287,2204,50622,2744,N,N,22730,2076,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X)
0500000US01007,01007,"Bibb County, Alabama",7225,406,5334,375,3856,384,1891,295,6.4,1.7,2.5,1.2,1.2,0.9,18.8,6.2,8.6,2.3,5.8,3.0,3.3,2.6,15.9,5.5,16.0,2.8,17.1,3.5,10.7,3.4,18.0,6.0,13.8,3.6,11.3,3.6,11.1,3.9,20.6,8.4,14.7,3.4,13.8,4.0,15.2,4.6,16.1,7.0,19.1,3.6,22.3,4.8,24.8,5.8,5.3,2.7,8.8,2.3,11.5,3.0,14.3,3.7,1.1,1.1,10.3,2.7,13.2,3.5,17.1,4.6,2.2,2.2,1.7,1.2,1.6,1.3,1.6,1.5,1.9,2.9,0.5,0.6,0.7,0.8,0.6,0.9,0.0,1.7,40506,3675,49143,7279,58766,5960,22780,6805,50574,3488,56928,4238,N,N,30330,5412,39.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X)
0500000US01009,01009,"Blount County, Alabama",20954,414,15473,554,12258,566,5481,517,7.4,1.3,4.3,1.0,2.1,1.0,18.5,3.7,6.4,1.1,3.8,1.2,1.8,0.9,15.0,2.5,13.8,1.7,10.3,1.9,8.5,1.6,23.2,4.2,11.3,1.4,10.6,1.5,9.7,1.6,15.2,3.3,15.8,1.8,15.3,2.0,15.5,2.2,15.6,3.8,21.5,1.9,26.3,2.5,28.0,2.7,7.0,2.3,11.0,1.6,13.4,2.0,15.4,2.5,2.7,1.6,9.3,1.4,11.7,1.8,13.9,2.2,2.1,1.2,1.9,0.6,2.6,0.8,3.3,1.0,0.4,0.5,1.4,0.6,1.7,0.7,1.9,0.9,0.3,0.4,45404,1672,54351,1600,58926,2603,21613,2188,55558,2513,63853,3150,69971,3374,28970,2126,26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X)
0500000US01011,01011,"Bullock County, Alabama",3760,198,2422,269,1211,223,1338,241,16.8,4.2,13.3,5.0,1.4,2.2,24.0,8.0,7.4,2.6,5.2,3.1,0.0,2.6,10.5,5.6,15.5,4.7,11.0,5.0,7.3,7.3,23.7,9.0,12.8,3.3,13.3,4.0,11.6,6.4,12.0,6.5,16.6,5.2,15.5,5.9,14.8,7.2,18.7,9.1,14.7,4.4,18.3,5.6,21.9,8.5,8.8,5.8,5.2,2.7,7.5,3.7,14.7,6.8,1.0,4.0,5.5,2.9,8.1,4.3,16.3,8.4,0.0,2.4,1.6,1.8,2.6,2.8,1.7,2.1,0.0,2.4,3.9,2.7,5.2,4.3,10.4,8.2,1.4,2.3,31955,5969,41702,6887,65221,12438,21164,4556,50935,8113,62302,12057,N,N,30011,7170,47.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),49.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42.1,(X)
0500000US01013,01013,"Butler County, Alabama",8090,283,5329,291,3217,259,2761,303,15.1,2.0,9.7,2.1,3.5,1.7,25.6,4.4,10.4,1.9,7.6,2.3,4.1,2.1,17.9,4.0,15.8,2.3,13.6,2.5,9.9,2.6,19.4,4.7,13.7,2.5,14.0,2.9,11.6,2.7,13.1,3.9,16.4,2.5,18.9,3.4,19.8,4.4,12.3,3.8,12.8,2.4,15.5,2.9,20.7,4.2,6.8,2.7,8.7,1.8,11.2,2.6,15.0,3.5,3.5,2.6,5.1,1.3,6.7,1.9,10.9,3.2,0.9,0.9,1.3,0.7,1.8,1.0,2.8,1.6,0.3,0.5,0.6,0.5,1.0,0.8,1.6,1.4,0.0,1.2,31273,2519,38775,3649,51198,4926,18517,2485,41259,2149,48731,3026,N,N,25364,2611,27.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.9,(X)
0500000US01015,01015,"Calhoun County, Alabama",45923,653,30469,872,21662,659,15454,741,12.5,0.9,7.9,0.9,2.8,0.8,22.9,2.4,7.7,0.8,4.3,0.8,2.0,0.7,14.7,1.8,13.5,0.9,10.2,1.1,6.9,1.0,19.6,2.0,11.4,0.9,10.8,1.1,9.1,1.2,13.5,1.8,14.5,1.3,15.5,1.6,15.7,1.8,12.9,2.0,18.6,1.2,22.8,1.7,26.6,2.1,9.1,1.5,10.5,1.0,13.2,1.3,16.8,1.7,4.4,1.2,7.8,0.8,10.6,1.1,14.0,1.5,1.7,0.7,1.9,0.4,2.6,0.6,3.6,0.8,0.4,0.3,1.6,0.4,2.1,0.6,2.5,0.7,0.7,0.4,39467,1089,51051,1483,61995,1670,20861,1206,51382,1295,61259,1731,72479,2382,30276,1680,29.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
