,id,unrate
0,01001,5.6
1,01003,6.3
2,01005,12.8
3,01007,7.1
4,01009,6.0
5,01011,13.3
6,01013,9.8
7,01015,11.7
8,01017,7.5
9,01019,5.9
10,01021,7.9
11,01023,13.6
12,01025,17.1
13,01027,6.6
14,01029,7.2
15,01031,6.2
16,01033,7.5
17,01035,20.4
18,01037,12.6
19,01039,10.7
20,01041,7.4
21,01043,6.1
22,01045,10.4
23,01047,14.9
24,01049,6.3
25,01051,7.5
26,01053,15.2
27,01055,8.5
28,01057,8.8
29,01059,9.7
30,01061,10.3
31,01063,18.2
32,01065,12.1
33,01067,7.5
34,01069,8.1
35,01071,8.6
36,01073,8.2
37,01075,9.5
38,01077,7.6
39,01079,8.3
40,01081,6.1
41,01083,7.9
42,01085,12.3
43,01087,15.0
44,01089,7.3
45,01091,14.1
46,01093,7.6
47,01095,7.2
48,01097,8.7
49,01099,21.8
50,01101,8.4
51,01103,8.9
52,01105,11.7
53,01107,12.3
54,01109,9.7
55,01111,8.0
56,01113,9.4
57,01115,6.4
58,01117,4.6
59,01119,15.3
60,01121,12.0
61,01123,9.8
62,01125,7.0
63,01127,11.0
64,01129,16.1
65,01131,20.4
66,01133,8.7
67,02013,2.6
68,02016,1.1
69,02020,6.0
70,02050,19.3
71,02060,5.7
72,02068,1.2
73,02070,11.2
74,02090,8.5
75,02100,3.8
76,02105,10.2
77,02110,4.9
78,02122,8.7
79,02130,7.6
80,02150,3.6
81,02158,26.4
82,02164,11.7
83,02170,9.9
84,02180,17.4
85,02185,10.0
86,02188,22.6
87,02195,5.8
88,02198,13.6
89,02220,4.5
90,02230,6.7
91,02240,9.4
92,02261,9.0
93,02275,7.2
94,02282,7.1
95,02290,18.4
96,04001,15.8
97,04003,8.6
98,04005,8.2
99,04007,12.1
100,04009,14.4
101,04011,8.9
102,04012,10.6
103,04013,6.8
104,04015,11.7
105,04017,18.5
106,04019,9.2
107,04021,9.4
108,04023,9.7
109,04025,8.5
110,04027,12.5
111,05001,9.1
112,05003,10.0
113,05005,6.2
114,05007,3.4
115,05009,8.4
116,05011,11.0
117,05013,6.8
118,05015,6.0
119,05017,10.8
120,05019,7.9
121,05021,7.0
122,05023,8.5
123,05025,8.9
124,05027,9.3
125,05029,7.2
126,05031,6.3
127,05033,7.1
128,05035,9.1
129,05037,7.5
130,05039,7.1
131,05041,12.8
132,05043,12.9
133,05045,5.8
134,05047,8.8
135,05049,7.3
136,05051,9.1
137,05053,8.0
138,05055,8.2
139,05057,8.3
140,05059,6.8
141,05061,7.4
142,05063,6.7
143,05065,9.6
144,05067,7.7
145,05069,9.7
146,05071,5.7
147,05073,11.1
148,05075,8.2
149,05077,16.4
150,05079,11.6
151,05081,8.8
152,05083,8.1
153,05085,5.6
154,05087,5.2
155,05089,10.0
156,05091,8.6
157,05093,10.9
158,05095,10.7
159,05097,4.5
160,05099,7.2
161,05101,5.1
162,05103,7.9
163,05105,7.4
164,05107,17.6
165,05109,5.6
166,05111,6.8
167,05113,8.7
168,05115,7.1
169,05117,6.7
170,05119,6.4
171,05121,4.1
172,05123,11.0
173,05125,4.7
174,05127,11.9
175,05129,4.2
176,05131,5.4
177,05133,6.8
178,05135,7.9
179,05137,8.1
180,05139,9.0
181,05141,11.9
182,05143,5.2
183,05145,6.3
184,05147,12.3
185,05149,6.8
186,06001,7.1
187,06003,11.8
188,06005,11.6
189,06007,10.7
190,06009,9.6
191,06011,8.7
192,06013,7.7
193,06015,10.4
194,06017,9.6
195,06019,11.9
196,06021,9.9
197,06023,9.5
198,06025,17.1
199,06027,6.3
200,06029,11.9
201,06031,11.7
202,06033,13.7
203,06035,9.4
204,06037,8.9
205,06039,8.2
206,06041,5.1
207,06043,9.8
208,06045,11.0
209,06047,15.7
210,06049,6.8
211,06051,8.0
212,06053,6.9
213,06055,6.6
214,06057,8.8
215,06059,6.8
216,06061,7.0
217,06063,11.8
218,06065,11.3
219,06067,10.2
220,06069,10.8
221,06071,11.0
222,06073,7.8
223,06075,6.2
224,06077,11.9
225,06079,5.5
226,06081,5.6
227,06083,7.2
228,06085,6.6
229,06087,7.3
230,06089,8.7
231,06091,3.9
232,06093,11.7
233,06095,10.0
234,06097,7.0
235,06099,13.8
236,06101,11.2
237,06103,12.6
238,06105,9.9
239,06107,10.6
240,06109,11.6
241,06111,7.5
242,06113,7.9
243,06115,12.7
244,08001,6.1
245,08003,8.7
246,08005,6.0
247,08007,6.7
248,08009,3.7
249,08011,7.9
250,08013,5.6
251,08014,4.5
252,08015,3.8
253,08017,8.8
254,08019,4.4
255,08021,10.3
256,08023,11.6
257,08025,26.4
258,08027,10.8
259,08029,9.2
260,08031,5.4
261,08033,3.6
262,08035,3.6
263,08037,3.0
264,08039,5.6
265,08041,7.4
266,08043,8.0
267,08045,6.2
268,08047,3.9
269,08049,5.8
270,08051,7.1
271,08053,5.1
272,08055,12.6
273,08057,1.8
274,08059,5.2
275,08061,4.1
276,08063,5.0
277,08065,6.0
278,08067,5.1
279,08069,6.0
280,08071,7.8
281,08073,4.2
282,08075,6.9
283,08077,8.7
284,08079,2.1
285,08081,4.5
286,08083,6.5
287,08085,8.6
288,08087,5.5
289,08089,10.1
290,08091,6.4
291,08093,4.3
292,08095,2.7
293,08097,5.5
294,08099,10.6
295,08101,9.7
296,08103,4.3
297,08105,9.4
298,08107,4.1
299,08109,7.7
300,08111,10.3
301,08113,4.3
302,08115,8.4
303,08117,4.3
304,08119,7.2
305,08121,3.9
306,08123,6.0
307,08125,2.2
308,09001,8.2
309,09003,8.2
310,09005,6.7
311,09007,5.3
312,09009,8.5
313,09011,7.7
314,09013,6.3
315,09015,8.4
316,10001,8.0
317,10003,6.9
318,10005,7.1
319,11001,8.7
320,12001,7.0
321,12003,6.8
322,12005,7.5
323,12007,10.6
324,12009,9.3
325,12011,8.7
326,12013,10.1
327,12015,10.1
328,12017,11.6
329,12019,8.9
330,12021,6.4
331,12023,11.7
332,12027,8.3
333,12029,5.3
334,12031,8.6
335,12033,8.3
336,12035,7.6
337,12037,9.2
338,12039,9.6
339,12041,9.7
340,12043,13.3
341,12045,9.2
342,12047,14.0
343,12049,11.3
344,12051,10.1
345,12053,11.2
346,12055,12.3
347,12057,7.9
348,12059,13.1
349,12061,10.3
350,12063,12.3
351,12065,8.4
352,12067,15.0
353,12069,8.2
354,12071,8.5
355,12073,9.6
356,12075,9.9
357,12077,9.1
358,12079,12.4
359,12081,7.5
360,12083,10.1
361,12085,8.4
362,12086,8.5
363,12087,4.9
364,12089,7.6
365,12091,6.5
366,12093,11.2
367,12095,8.1
368,12097,8.3
369,12099,8.2
370,12101,8.2
371,12103,7.3
372,12105,9.6
373,12107,11.4
374,12109,6.0
375,12111,9.9
376,12113,7.1
377,12115,7.1
378,12117,8.0
379,12119,7.9
380,12121,10.3
381,12123,7.7
382,12125,10.5
383,12127,7.8
384,12129,7.1
385,12131,7.3
386,12133,9.8
387,13001,8.5
388,13003,5.9
389,13005,5.3
390,13007,3.2
391,13009,8.2
392,13011,7.7
393,13013,8.6
394,13015,7.7
395,13017,7.8
396,13019,10.4
397,13021,11.3
398,13023,6.6
399,13025,9.2
400,13027,17.7
401,13029,9.3
402,13031,9.7
403,13033,7.3
404,13035,8.4
405,13037,14.4
406,13039,9.3
407,13043,7.1
408,13045,10.8
409,13047,7.2
410,13049,12.0
411,13051,9.2
412,13053,16.0
413,13055,10.1
414,13057,5.5
415,13059,8.6
416,13061,18.9
417,13063,12.2
418,13065,11.3
419,13067,6.8
420,13069,7.3
421,13071,7.7
422,13073,6.9
423,13075,5.4
424,13077,6.6
425,13079,9.6
426,13081,13.9
427,13083,5.8
428,13085,7.5
429,13087,6.7
430,13089,9.8
431,13091,10.5
432,13093,9.4
433,13095,17.0
434,13097,9.0
435,13099,7.9
436,13101,7.0
437,13103,6.0
438,13105,8.3
439,13107,11.5
440,13109,7.8
441,13111,9.2
442,13113,6.3
443,13115,9.3
444,13117,4.8
445,13119,7.9
446,13121,8.9
447,13123,7.8
448,13125,6.9
449,13127,7.8
450,13129,7.7
451,13131,9.2
452,13133,6.6
453,13135,6.8
454,13137,7.2
455,13139,5.7
456,13141,10.3
457,13143,10.3
458,13145,8.1
459,13147,5.6
460,13149,9.8
461,13151,8.9
462,13153,8.8
463,13155,6.9
464,13157,6.8
465,13159,8.8
466,13161,5.3
467,13163,13.3
468,13165,6.2
469,13167,9.3
470,13169,8.0
471,13171,13.0
472,13173,13.9
473,13175,5.9
474,13177,6.9
475,13179,13.0
476,13181,9.1
477,13183,16.3
478,13185,11.0
479,13187,6.8
480,13189,8.6
481,13191,9.9
482,13193,16.9
483,13195,8.0
484,13197,14.5
485,13199,11.2
486,13201,7.9
487,13205,16.6
488,13207,9.0
489,13209,5.8
490,13211,6.9
491,13213,8.9
492,13215,10.1
493,13217,10.6
494,13219,4.2
495,13221,5.6
496,13223,6.8
497,13225,10.4
498,13227,7.2
499,13229,8.3
500,13231,10.0
501,13233,8.7
502,13235,5.9
503,13237,8.0
504,13239,18.5
505,13241,6.8
506,13243,9.7
507,13245,11.5
508,13247,10.3
509,13249,13.0
510,13251,8.5
511,13253,8.7
512,13255,10.2
513,13257,10.5
514,13259,13.9
515,13261,12.7
516,13263,9.3
517,13265,11.7
518,13267,5.1
519,13269,17.9
520,13271,4.3
521,13273,12.1
522,13275,9.8
523,13277,5.1
524,13279,10.8
525,13281,8.9
526,13283,6.2
527,13285,10.7
528,13287,9.1
529,13289,7.7
530,13291,9.1
531,13293,12.5
532,13295,7.0
533,13297,7.8
534,13299,5.7
535,13301,12.5
536,13303,10.7
537,13305,12.8
538,13307,5.2
539,13309,7.5
540,13311,4.8
541,13313,9.6
542,13315,7.9
543,13317,8.6
544,13319,7.4
545,13321,8.2
546,15001,7.4
547,15003,5.1
548,15005,0.0
549,15007,5.1
550,15009,6.0
551,16001,5.3
552,16003,10.8
553,16005,7.1
554,16007,3.4
555,16009,10.2
556,16011,6.6
557,16013,3.7
558,16015,8.3
559,16017,5.7
560,16019,4.7
561,16021,3.9
562,16023,6.8
563,16025,4.3
564,16027,8.3
565,16029,2.4
566,16031,4.5
567,16033,4.7
568,16035,6.6
569,16037,3.6
570,16039,7.5
571,16041,3.8
572,16043,5.2
573,16045,9.0
574,16047,4.3
575,16049,6.4
